Data-set,GFS,Top-k,Completa,Individual,Homogenea
CUReT-RESMLP,0.998039577527,0.996971604257,0.998752588623,0.997143208884,0.998217788176
CUReT-SVM,0.998752399067,0.998930736107,0.999108946756,0.994838579859,0.998930609716
DTD-RESMLP,0.866843496946,0.866203963678,0.860231953018,0.837326573048,0.861083332101
DTD-SVM,0.869411110191,0.868392429827,0.864816126140,0.842574797660,0.860619837751
FMD-RESMLP,0.978260006320,0.976979126903,0.957452034430,0.969001581398,0.977280796849
FMD-SVM,0.976586982805,0.981953943010,0.964431587094,0.972639114246,0.978896469111
Outex-RESMLP,0.942343581257,0.941883464314,0.954176748670,0.917760498441,0.930556889069
Outex-SVM,0.942574264906,0.950309809472,0.957203131215,0.906611752191,0.930749902089
