split,k,gfs_subset,gfs_macro_f1,gfs_in_enumeration,gfs_rank,oracle_subset,oracle_macro_f1,gap,n_subsets_same_k,n_better_than_gfs,gfs_percentile
official1_inverted,2,swinv2_base+vit_b16,0.9272589845067284,True,168,deit_s+dinov2_large,0.9974746397191456,0.07021565521241724,231,167,27.705627705627712
official2_inverted,1,beitv2_base,0.9039989015967734,True,2,eva02_base,0.9085897645836496,0.004590862986876165,22,1,95.45454545454545
official3_inverted,1,beitv2_base,0.9866463768766874,True,1,beitv2_base,0.9866463768766874,0.0,22,0,100.0
official4_inverted,1,vit_b16,0.8674055411285294,True,10,dinov2,0.9372354923195052,0.06982995119097579,22,9,59.09090909090908
