dataset,classifier,seed,split,inverted,k,subset,macro_f1,accuracy,dimensions,fit_seconds
KTHTIPS2b,svm,42,official1_inverted,1,2,convnext_v2_t+deit_s,0.9609684758394388,0.9612794612794613,1152,1.358414874999994
KTHTIPS2b,svm,42,official1_inverted,1,2,convnext_v2_t+densenet121,0.9712960700411117,0.9713804713804713,1792,2.029678126999997
KTHTIPS2b,svm,42,official1_inverted,1,2,convnext_v2_t+dinov2,0.9840581532549322,0.984006734006734,1536,1.8018794110000016
KTHTIPS2b,svm,42,official1_inverted,1,2,convnext_v2_t+dinov2_large,0.9966318415718072,0.9966329966329966,1792,2.067213099
KTHTIPS2b,svm,42,official1_inverted,1,2,convnext_v2_t+dinov2_small,0.9797235709681561,0.9797979797979798,1152,1.2892840060000026
KTHTIPS2b,svm,42,official1_inverted,1,2,convnext_v2_t+drlbp,0.9658070335035464,0.9654882154882155,848,1.0253214489999891
KTHTIPS2b,svm,42,official1_inverted,1,2,convnext_v2_t+efficientnet_b0,0.9633906097698074,0.9638047138047138,2048,2.4381355120000023
KTHTIPS2b,svm,42,official1_inverted,1,2,convnext_v2_t+eva02_base,0.9695735574153812,0.9696969696969697,1536,1.7823172160000098
KTHTIPS2b,svm,42,official1_inverted,1,2,convnext_v2_t+gabor,0.9664381954479904,0.9663299663299664,816,1.0786918710000037
KTHTIPS2b,svm,42,official1_inverted,1,2,convnext_v2_t+glcm,0.9648803429761845,0.9646464646464646,786,1.0148485039999997
KTHTIPS2b,svm,42,official1_inverted,1,2,convnext_v2_t+hog,0.9656748595485247,0.9654882154882155,2532,3.289358514
KTHTIPS2b,svm,42,official1_inverted,1,2,convnext_v2_t+lbp,0.9665813758696434,0.9663299663299664,822,1.0198909770000029
KTHTIPS2b,svm,42,official1_inverted,1,2,convnext_v2_t+mae_base,0.9657616508667349,0.9654882154882155,1536,1.9481359899999973
KTHTIPS2b,svm,42,official1_inverted,1,2,convnext_v2_t+resnet101,0.9706017371265676,0.9705387205387206,2816,1.941114474999992
KTHTIPS2b,svm,42,official1_inverted,1,2,convnext_v2_t+resnet50,0.9488577255255329,0.9486531986531986,2816,1.7806042109999964
KTHTIPS2b,svm,42,official1_inverted,1,2,convnext_v2_t+siglip_base,0.9739052186453807,0.9739057239057239,1536,1.8027513870000007
KTHTIPS2b,svm,42,official1_inverted,1,2,convnext_v2_t+swin_t,0.9620886698008699,0.9621212121212122,1536,1.7937293240000116
KTHTIPS2b,svm,42,official1_inverted,1,2,convnext_v2_t+swinv2_base,0.953543707854664,0.9537037037037037,1792,2.0291461279999936
KTHTIPS2b,svm,42,official1_inverted,1,2,convnext_v2_t+vgg16,0.9411730605072995,0.9419191919191919,4864,1.0684832909999926
KTHTIPS2b,svm,42,official1_inverted,1,2,convnext_v2_t+vit_b16,0.9487255926719605,0.9494949494949495,1536,1.7654649250000034
KTHTIPS2b,svm,42,official1_inverted,1,2,deit_s+densenet121,0.9637541407951388,0.9638047138047138,1408,1.5769133339999968
KTHTIPS2b,svm,42,official1_inverted,1,2,deit_s+dinov2,0.9957908327786996,0.9957912457912458,1152,1.3132522429999938
KTHTIPS2b,svm,42,official1_inverted,1,2,deit_s+dinov2_large,0.9974746397191457,0.9974747474747475,1408,1.6129726820000059
KTHTIPS2b,svm,42,official1_inverted,1,2,deit_s+dinov2_small,0.9796816725373486,0.9797979797979798,768,0.8895734500000003
KTHTIPS2b,svm,42,official1_inverted,1,2,deit_s+drlbp,0.9585310255050407,0.9587542087542088,464,0.5513261659999955
KTHTIPS2b,svm,42,official1_inverted,1,2,deit_s+efficientnet_b0,0.9475543004355174,0.9486531986531986,1664,2.001664955999999
KTHTIPS2b,svm,42,official1_inverted,1,2,deit_s+eva02_base,0.961869337518656,0.9621212121212122,1152,1.2896767099999948
KTHTIPS2b,svm,42,official1_inverted,1,2,deit_s+gabor,0.9472161263843591,0.9478114478114478,432,0.5636402189999927
KTHTIPS2b,svm,42,official1_inverted,1,2,deit_s+glcm,0.9542127781497366,0.9545454545454546,402,0.5624253510000017
KTHTIPS2b,svm,42,official1_inverted,1,2,deit_s+hog,0.9567801439754284,0.9570707070707071,2148,3.088842373999995
