dataset,split,descriptor,macro_f1,accuracy,train_rows,test_rows,protocol,feature_normalization,seed,epochs,batch_size,hidden_units,dropout,learning_rate,weight_decay
KTHTIPS2b,1,beitv2_base_multilayer,0.9533662820437723,0.9528619528619529,3564,1188,radam_predefined_split_3train_1test,raw_gap_no_l2,42,100,32,64,0.2,0.001,0.0001
KTHTIPS2b,2,beitv2_base_multilayer,0.8985354022164586,0.9048821548821548,3564,1188,radam_predefined_split_3train_1test,raw_gap_no_l2,42,100,32,64,0.2,0.001,0.0001
KTHTIPS2b,3,beitv2_base_multilayer,0.9908230365061889,0.9907407407407407,3564,1188,radam_predefined_split_3train_1test,raw_gap_no_l2,42,100,32,64,0.2,0.001,0.0001
KTHTIPS2b,4,beitv2_base_multilayer,0.906145048445479,0.9090909090909091,3564,1188,radam_predefined_split_3train_1test,raw_gap_no_l2,42,100,32,64,0.2,0.001,0.0001
