dataset,classifier,method,n,macro_f1_mean,macro_f1_std
KTHTIPS2b,resmlp,best_homogeneous_transformer,4,0.8411872826690826,0.03205816160188583
KTHTIPS2b,resmlp,best_individual,4,0.8069963128355958,0.053967073320217586
KTHTIPS2b,resmlp,full_concat,4,0.855020738159677,0.032424366331840114
KTHTIPS2b,resmlp,gfs,4,0.8235242904896827,0.02887272207612716
KTHTIPS2b,svm,best_homogeneous_transformer,4,0.8160227908291713,0.04663566879091883
KTHTIPS2b,svm,best_individual,4,0.7976606131740683,0.032893320156673206
KTHTIPS2b,svm,full_concat,4,0.8623581043129607,0.05435461276884125
KTHTIPS2b,svm,gfs,4,0.8098204918483333,0.038782064633602155
