Data-set,Individual,Completa,Top-$k$,GFS,Homogénea
DTD,0.837326573048,0.861977563513,0.864282129600,0.863873425435,0.861083332101
FMD,0.969001581398,0.956416630492,0.973951385567,0.978260006320,0.977280796849
CUReT,0.997143208884,0.999108946756,0.998396104160,0.998574209474,0.998217788176
Outex,0.947595424787,0.941587422387,0.965204730921,0.971516437149,0.930556889069
Soil,0.853331996183,0.864904936840,0.868540845074,0.869093535898,0.862893156880
KTH-TIPS2-b,0.906107141309,0.948720086868,0.932157245291,0.920094271982,0.912715862362
