Data-set,Individual,Completa,Top-$k$,GFS,Homogénea
DTD,0.842574797660,0.863854358045,0.870019359260,0.870332367835,0.860447211631
FMD,0.972639114246,0.964746258216,0.981953943010,0.976586982805,0.978896469111
CUReT,0.994838579859,0.998930757162,0.998930736107,0.998752399067,0.998930609716
Outex,0.906611752191,0.965551002836,0.942574395561,0.958883749211,0.930749902089
Soil,0.857750282490,0.881609452707,0.877580810277,0.867108900382,0.866969645345
KTH-TIPS2-b,0.939585272140,0.960130906221,0.940031814494,0.905236330906,0.927099156614
