Data-set,GFS,Top-k,Completa,Individual,Homogenea
CUReT,0.998395988297,0.998752525458,0.999109905436,0.995990894371,0.998574198946
DTD,0.867684768298,0.866588068886,0.861873104419,0.839950685354,0.860851584926
FMD,0.977423494563,0.978610912666,0.958126175939,0.970820347822,0.978088632980
Outex,0.966260615775,0.952388258838,0.960530361673,0.927103588489,0.930653395579
