Data-set,Individual,Completa,Top-$k$,GFS,Homogénea
DTD,0.837326573048,0.860818752126,0.864783707945,0.865958426406,0.861083332101
FMD,0.969001581398,0.951825321203,0.975267882322,0.978260006320,0.977280796849
CUReT,0.997143208884,0.999287157405,0.998574314809,0.998039577527,0.998217788176
Outex,0.947595424787,0.953669175343,0.960659391348,0.971516437149,0.930556889069
Soil,0.854229948796,0.864261570153,0.868704816803,0.864484392794,0.867139552617
KTH-TIPS2-b,0.908077735062,0.946433928568,0.938286928370,0.926223955062,0.939152061597
