Data-set,Individual,Completa,Top-$k$,GFS,Homogénea
DTD,0.842574797660,0.862927456713,0.868392429827,0.869411110191,0.860619837751
FMD,0.972639114246,0.964427030674,0.981953943010,0.976586982805,0.978896469111
CUReT,0.994838579859,0.998932653468,0.998930736107,0.998752399067,0.998930609716
Outex,0.906611752191,0.967391548003,0.944117126327,0.961004794401,0.930749902089
Soil,0.857750282490,0.878888215648,0.874022082548,0.869813347969,0.860985718368
KTH-TIPS2-b,0.935626144087,0.956300471164,0.933198921298,0.904878558927,0.909160348914
