dataset,classifier,seed,outer_fold,method,selected,n_test,accuracy,balanced_accuracy,precision_macro,recall_macro,macro_f1,roc_auc_ovr_macro,fit_predict_seconds,archived_accuracy,archived_macro_f1,delta_accuracy_vs_archive,delta_macro_f1_vs_archive
Outex13Official1360,svm,42,0,best_homogeneous_self_supervised,dinov2_large+dinov2+dinov2_small+siglip_base+mae_base,680,0.9323529411764706,0.9323529411764706,0.9326415822739352,0.9323529411764706,0.9307499020892676,0.9987928007023704,5.132010086000264,0.9323529411764706,0.9307499020892676,0.0,0.0
Outex13Official1360,svm,42,0,best_individual,dinov2_large,680,0.9102941176470588,0.9102941176470588,0.9084553110288405,0.9102941176470588,0.9066117521911786,0.9983779631255487,0.8096404540001458,0.9102941176470588,0.9066117521911786,0.0,0.0
Outex13Official1360,svm,42,0,full_concat,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16,680,0.9573529411764706,0.9573529411764707,0.960840140251905,0.9573529411764707,0.9572031312147551,0.9990605794556631,20.300720731999718,0.9573529411764706,0.9572031312147552,0.0,-1.1102230246251565e-16
Outex13Official1360,svm,42,0,gfs,dinov2_large+efficientnet_b0+convnext_v2_t+swin_t+resnet50+gabor,680,0.9426470588235294,0.9426470588235295,0.9480116288939818,0.9426470588235295,0.9425742649062627,0.9989486391571551,5.005124527000589,0.9426470588235294,0.9425742649062628,0.0,-1.1102230246251565e-16
Outex13Official1360,svm,42,0,topk_individual,dinov2_large+dinov2_small+dinov2+convnext_v2_t+resnet101+efficientnet_b0,680,0.9514705882352941,0.9514705882352942,0.9534494916847858,0.9514705882352942,0.9503098094722333,0.9986720807726075,5.660905781999645,0.951470588235294,0.9503098094722332,1.1102230246251565e-16,1.1102230246251565e-16
CUReT,resmlp,42,0,best_homogeneous_self_supervised,dinov2_small+dinov2,2806,0.9975053456878118,0.9975053456878119,0.9975508409032318,0.9975053456878119,0.9975050930262113,0.99999870877106,17.511337701999764,0.9971489665003564,0.9971484189474268,0.0003563791874553468,0.0003566740787844802
CUReT,resmlp,42,0,best_individual,dinov2_small,2806,0.9967925873129009,0.9967925873129009,0.9968532476001275,0.9967925873129009,0.9967921212926157,0.9999876042021755,12.183667624000009,0.9950106913756236,0.9949992603626016,0.0017818959372772891,0.001792860930014184
CUReT,resmlp,42,0,full_concat,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16,2806,0.9982181040627227,0.9982181040627228,0.9982560167422393,0.9982181040627228,0.9982178935113889,0.9999913487661016,54.22911825199935,0.9975053456878118,0.9975051772467448,0.0007127583749109156,0.0007127162646440866
CUReT,resmlp,42,0,gfs,dinov2_small+dinov2,2806,0.9975053456878118,0.9975053456878119,0.9975508409032318,0.9975053456878119,0.9975050930262113,0.99999870877106,13.497704632000023,0.9971489665003564,0.9971484189474268,0.0003563791874553468,0.0003566740787844802
CUReT,resmlp,42,0,topk_individual,dinov2+dinov2_small,2806,0.9975053456878118,0.9975053456878119,0.9975874898267644,0.9975053456878119,0.9975125519192037,0.999998579648166,13.794120538999778,0.9975053456878118,0.9975125519192036,0.0,1.1102230246251565e-16
CUReT,resmlp,42,1,best_homogeneous_self_supervised,dinov2_large+dinov2+mae_base,2806,0.9992872416250891,0.9992872416250891,0.9993024066968957,0.9992872416250891,0.9992871574045555,1.0,5.769750660999307,0.9992872416250892,0.9992871574045556,-1.1102230246251565e-16,-1.1102230246251565e-16
CUReT,resmlp,42,1,best_individual,dinov2_large,2806,0.9989308624376336,0.9989308624376337,0.9989536100453436,0.9989308624376337,0.9989307361068334,1.0,11.958835287000511,0.9992872416250892,0.9992871574045556,-0.00035637918745556885,-0.0003564212977222869
CUReT,resmlp,42,1,full_concat,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16,2806,1.0,1.0,1.0,1.0,1.0,1.0,41.089100817000144,1.0,1.0,0.0,0.0
CUReT,resmlp,42,1,gfs,dinov2_large+resnet50+resnet101+vit_b16,2806,0.9989308624376336,0.9989308624376337,0.9989536100453436,0.9989308624376337,0.9989307361068334,1.0,21.87159240999972,0.9989308624376336,0.9989307361068334,0.0,0.0
CUReT,resmlp,42,1,topk_individual,dinov2_large+dinov2+dinov2_small+swin_t,2806,0.9964362081254454,0.9964362081254454,0.9967277955157271,0.9964362081254454,0.9964306565950624,1.0,5.19515477799996,0.9964362081254454,0.9964306565950624,0.0,0.0
CUReT,svm,42,0,best_homogeneous_self_supervised,dinov2_large+dinov2+dinov2_small+siglip_base,2806,0.9982181040627227,0.9982181040627228,0.9982705499360539,0.9982181040627228,0.9982176407303267,0.9998378216451289,7.474711286999991,0.9982181040627228,0.9982176407303268,-1.1102230246251565e-16,-1.1102230246251565e-16
CUReT,svm,42,0,best_individual,dinov2_large,2806,0.992872416250891,0.9928724162508908,0.9930831106332692,0.9928724162508908,0.992881035142622,0.9997631886123937,5.263070986000457,0.992872416250891,0.992881035142622,0.0,0.0
CUReT,svm,42,0,full_concat,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16,2806,0.9982181040627227,0.9982181040627228,0.9982560167422393,0.9982181040627228,0.9982178935113889,0.9998941192269154,53.05570506799995,0.9982181040627228,0.9982178935113888,-1.1102230246251565e-16,1.1102230246251565e-16
CUReT,svm,42,0,gfs,dinov2_large+vit_b16+dinov2_small+hog,2806,0.9982181040627227,0.9982181040627228,0.998270549936054,0.9982181040627228,0.9982176407303267,0.9998795283398929,10.428830240000025,0.9982181040627228,0.9982176407303268,-1.1102230246251565e-16,-1.1102230246251565e-16
CUReT,svm,42,0,topk_individual,dinov2_large+dinov2+dinov2_small+vit_b16,2806,0.9982181040627227,0.9982181040627228,0.9982560167422393,0.9982181040627228,0.9982178935113889,0.9999158118731084,8.290399922000688,0.9982181040627228,0.9982178935113888,-1.1102230246251565e-16,1.1102230246251565e-16
CUReT,svm,42,1,best_homogeneous_self_supervised,dinov2_large+siglip_base+dinov2_small+dinov2,2806,0.9996436208125445,0.9996436208125445,0.9996512033484478,0.9996436208125445,0.9996435787022778,0.9999998708771061,7.7960961710004995,0.9996436208125444,0.9996435787022778,1.1102230246251565e-16,0.0
