Classifier,Individual,Completa,Top-k,GFS,Homogenea
resmlp,0.837326573048,0.860818752126,0.864783707945,0.865958426406,0.861083332101
svm,0.842574797660,0.862927456713,0.868392429827,0.869411110191,0.860619837751
