Classifier,Individual,Completa,Top-k,GFS,Homogenea
resmlp,0.997143208884,0.999287157405,0.998574314809,0.998039577527,0.998217788176
svm,0.994838579859,0.998932653468,0.998930736107,0.998752399067,0.998930609716
