Classifier,Individual,Completa,Top-k,GFS,Homogenea
resmlp,0.969001581398,0.951825321203,0.975267882322,0.978260006320,0.977280796849
svm,0.972639114246,0.964427030674,0.981953943010,0.976586982805,0.978896469111
