Classifier,Individual,Completa,Top-k,GFS,Homogenea
resmlp,0.947595424787,0.953669175343,0.960659391348,0.971516437149,0.930556889069
svm,0.906611752191,0.967391548003,0.944117126327,0.961004794401,0.930749902089
