dataset,classifier,method,dimensions_mean,fit_seconds_mean
VisTexReference12,resmlp,best_homogeneous_self_supervised,1627.4285714285713,0.35265788821425303
VisTexReference12,resmlp,best_homogeneous_transformer,768.0,0.4069363099997645
VisTexReference12,resmlp,best_individual,725.3333333333334,0.36406577159990167
VisTexReference12,resmlp,full_concat,19628.0,0.7321679738666717
VisTexReference12,resmlp,gfs,2164.8,0.3772265539333602
VisTexReference12,svm,best_homogeneous_self_supervised,1476.923076923077,0.09529474361527085
VisTexReference12,svm,best_homogeneous_transformer,768.0,0.044514517499464945
VisTexReference12,svm,best_individual,733.8666666666667,0.04426757186659714
VisTexReference12,svm,full_concat,19628.0,1.6633318851999623
VisTexReference12,svm,gfs,2025.8666666666666,0.12632517326662004
