classifier,method,original,corrected,delta
svm,best_individual,0.917716141197497,0.9302729050313701,0.012556763833873053
svm,gfs,0.9213274510271796,0.9425127411751594,0.021185290147979763
svm,homogenea,0.9213274510271796,0.9222964748934714,0.0009690238662918293
svm,full_concat,0.9472839947025271,0.9472839947025271,0.0
resmlp,best_individual,0.9081544147647707,0.9187714758642316,0.010617061099460923
resmlp,gfs,0.9189705522684364,0.9335351049453098,0.014564552676873399
resmlp,homogenea,0.9358504613794651,0.9177066465916901,-0.018143814787775048
resmlp,full_concat,0.9445950457088942,0.9445950457088942,0.0
