dataset,classifier,method,dimensions_mean,fit_seconds_mean
KTHTIPS2b,resmlp,best_homogeneous_transformer,960.0,2.77596918350082
KTHTIPS2b,resmlp,best_individual,1088.0,2.561924719499075
KTHTIPS2b,resmlp,full_concat,19628.0,13.25275503299872
KTHTIPS2b,resmlp,gfs,1280.0,2.821920890751244
KTHTIPS2b,svm,best_homogeneous_transformer,960.0,0.2777585427502345
KTHTIPS2b,svm,best_individual,768.0,0.2588024049991873
KTHTIPS2b,svm,full_concat,19628.0,5.4006897350000145
KTHTIPS2b,svm,gfs,960.0,0.2814901967503829
