dataset,classifier,seed,outer_fold,gfs_macro_f1,random_b,random_mean,random_std,random_max,gfs_percentile,empirical_p
KTHTIPS2b,resmlp,42,0,0.8484331105633025,100,0.7000280423264266,0.18553475628713187,0.9018566228165188,0.85,0.15841584158415842
KTHTIPS2b,resmlp,42,1,0.8484927522918362,100,0.7178389603391736,0.16795794018420132,0.9025645173358846,0.77,0.2376237623762376
KTHTIPS2b,resmlp,42,2,0.7960207699861449,100,0.6865058715052822,0.15269279044724196,0.8492557883546255,0.81,0.19801980198019803
KTHTIPS2b,resmlp,42,3,0.8011505291174469,100,0.7916112572671365,0.08607225965296786,0.8817706472051786,0.4,0.6039603960396039
KTHTIPS2b,svm,42,0,0.8432734492619197,100,0.6614529542964713,0.2336507967843689,0.9017348584179206,0.81,0.19801980198019803
KTHTIPS2b,svm,42,1,0.7901631013660299,100,0.689587163140799,0.2201627661954878,0.9073711494472396,0.48,0.5247524752475248
KTHTIPS2b,svm,42,2,0.7647685905317445,100,0.658410682637028,0.19785004420477997,0.8541822986046128,0.63,0.37623762376237624
KTHTIPS2b,svm,42,3,0.8410768262336391,100,0.7853395599015057,0.10059903286065922,0.895164151745242,0.81,0.19801980198019803
