dataset,classifier,method,macro_f1_mean,k_mean
KTHTIPS2b,resmlp,best_homogeneous_transformer,0.8354092654479739,1.25
KTHTIPS2b,resmlp,gfs,0.8166727379669914,1.25
KTHTIPS2b,svm,best_homogeneous_transformer,0.8107294169355329,1.25
KTHTIPS2b,svm,gfs,0.8098204918483333,1.25
