dataset,classifier,extractor,family,count,frequency
KTHTIPS2b,resmlp,resnet101,see runner family map,1,0.25
KTHTIPS2b,resmlp,swinv2_base,see runner family map,1,0.25
KTHTIPS2b,resmlp,vit_b16,see runner family map,3,0.75
KTHTIPS2b,svm,dinov2,see runner family map,1,0.25
KTHTIPS2b,svm,swin_t,see runner family map,1,0.25
KTHTIPS2b,svm,vit_b16,see runner family map,3,0.75
