Data-set,GFS,Top-k,Completa,Individual,Homogenea
CUReT-RESMLP,0.998252225474,0.997157642671,0.999128008371,0.997903428823,0.9984266238
CUReT-SVM,0.998786478316,0.998953610045,0.999128008371,0.994968179117,0.998960876642
DTD-RESMLP,0.868083075356,0.869395018117,0.862805172393,0.842084316305,0.863856885763
DTD-SVM,0.871678935781,0.870718755551,0.86750075691,0.845294660543,0.863122050648
FMD-RESMLP,0.979376360312,0.978059069501,0.956630075563,0.969214878435,0.977151396795
FMD-SVM,0.977844206994,0.982846586162,0.966500916873,0.974125048017,0.979935115567
Outex-RESMLP,0.941264128029,0.951575644213,0.927185815037,0.922896629514,0.932564679169
Outex-SVM,0.948011628894,0.953449491685,0.960840140252,0.908455311029,0.932641582274
