Data-set,Individual,Completa,Top-$k$,GFS,Homogénea
DTD,0.839950685354,0.861873104419,0.866588068886,0.867684768298,0.860851584926
FMD,0.970820347822,0.958126175939,0.978610912666,0.977423494563,0.978088632980
CUReT,0.995990894371,0.999109905436,0.998752525458,0.998395988297,0.998574198946
Outex,0.927103588489,0.960530361673,0.952388258838,0.966260615775,0.930653395579
Soil,0.855990115643,0.871574892900,0.871363449676,0.867148870381,0.864062635493
KTH-TIPS2-b,0.921851939574,0.951367199866,0.935742924834,0.915551256994,0.924156205255
