dataset,classifier,seed,outer_fold,run_mode_gfs,method_gfs,macro_f1_gfs,accuracy_gfs,k_gfs,dimensions_gfs,fit_seconds_gfs,selected_gfs,inner_f1_gfs,run_mode_topk,method_topk,macro_f1_topk,accuracy_topk,k_topk,dimensions_topk,fit_seconds_topk,selected_topk,inner_f1_topk,delta_gfs_topk,dimension_delta
DTD,resmlp,42,5,full,gfs,0.8697527800631069,0.8707446808510638,7,5504,4.1081952179993095,siglip_base+dinov2_large+eva02_base+dinov2_small+swin_t+densenet121+convnext_v2_t,0.8703292685627453,full,topk_individual,0.8670909033664213,0.8680851063829788,7,5248,11.05260640099914,siglip_base+dinov2_large+dinov2+eva02_base+dinov2_small+convnext_v2_t+swin_t,0.7904867711190979,0.0026618766966856056,256
DTD,resmlp,42,6,full,gfs,0.8830313341248496,0.8840425531914894,6,6400,4.194176996999886,siglip_base+dinov2+resnet50+dinov2_large+eva02_base+densenet121,0.8637285026051034,full,topk_individual,0.881028677567632,0.8819148936170212,6,4480,8.161167593001664,siglip_base+dinov2_large+dinov2+dinov2_small+eva02_base+convnext_v2_t,0.7970185316249334,0.0020026565572175414,1920
DTD,resmlp,42,7,full,gfs,0.8512886544377756,0.8531914893617021,7,4498,2.7285878580005374,siglip_base+dinov2_large+eva02_base+dinov2_small+swin_t+glcm+vit_b16,0.8807088363801373,full,topk_individual,0.8591910045708782,0.8617021276595744,7,6528,17.22287712800062,siglip_base+dinov2_large+dinov2+dinov2_small+eva02_base+convnext_v2_t+resnet101,0.8025205819389528,-0.007902350133102587,-2030
DTD,resmlp,42,8,full,gfs,0.8603552990070068,0.8611702127659574,4,3920,3.3639292619991465,siglip_base+dinov2_large+resnet50+drlbp,0.8582341271907885,full,topk_individual,0.854398472003442,0.8553191489361702,4,2944,7.288442744000349,siglip_base+dinov2_large+dinov2+dinov2_small,0.8101114953821567,0.005956827003564813,976
DTD,resmlp,42,9,full,gfs,0.857447241085092,0.8590425531914894,4,3584,3.3900188010011334,siglip_base+dinov2_large+eva02_base+densenet121,0.8723554245940373,full,topk_individual,0.8497417914447667,0.8526595744680852,4,2944,11.564519694999037,siglip_base+dinov2_large+dinov2+dinov2_small,0.8256223132449576,0.007705449640325268,640
FMD,svm,42,0,full,gfs,0.9599467477323704,0.96,3,1872,0.4012934469938045,siglip_base+dinov2_large+drlbp,0.9837880427430984,full,topk_individual,0.9646695207670816,0.965,3,2560,0.4397567790001631,siglip_base+dinov2_large+eva02_base,0.9640817920807172,-0.004722773034711136,-688
FMD,svm,42,1,full,gfs,0.9949968730456537,0.995,5,1974,0.6052218230033759,siglip_base+dinov2_large+gabor+drlbp+lbp,0.9812063343160904,full,topk_individual,0.9949968730456537,0.995,5,3712,0.6347728549999374,siglip_base+dinov2+dinov2_large+eva02_base+dinov2_small,0.9509702007395606,0.0,-1738
FMD,svm,42,2,full,gfs,0.9701928684007676,0.97,4,3328,0.5508741339945118,siglip_base+dinov2_large+eva02_base+swin_t,0.9824819965015728,full,topk_individual,0.9849937460913072,0.985,4,3328,0.6204318410000269,siglip_base+eva02_base+dinov2+dinov2_large,0.9534423331525964,-0.014800877690539616,0
FMD,svm,42,3,full,gfs,0.9949968730456537,0.995,4,2640,0.6385274900021614,siglip_base+dinov2_large+eva02_base+drlbp,0.9838002546234254,full,topk_individual,1.0,1.0,4,3328,0.569965508000223,siglip_base+dinov2_large+eva02_base+dinov2,0.9524703905172678,-0.005003126954346349,-688
FMD,svm,42,4,full,gfs,0.9799906191369606,0.98,5,7424,1.033609307000006,siglip_base+dinov2+dinov2_large+mae_base+vgg16,0.9811872313489622,full,topk_individual,0.9699718103890118,0.97,5,3712,0.6086189620000368,siglip_base+dinov2_large+dinov2+eva02_base+dinov2_small,0.9550732506798572,0.010018808747948804,3712
FMD,svm,123,0,full,gfs,0.9851067631555438,0.985,3,2560,0.7041343770033563,siglip_base+dinov2_large+mae_base,0.9797406116388786,full,topk_individual,0.9799686834346656,0.98,3,2560,0.502418194999791,siglip_base+dinov2_large+dinov2,0.957863167721476,0.005138079720878208,0
