dataset,classifier,n,gfs_mean,topk_mean,delta_mean,gfs_wins,ties,topk_wins,gfs_dimensions,topk_dimensions
CUReT,resmlp,2,0.99803957752713,0.996971604257133,0.00106797326999708,1,0,1,3520.0,2048.0
CUReT,svm,2,0.9987523990674412,0.9989307361068334,-0.00017833703939207357,0,0,2,4402.0,3328.0
DTD,resmlp,10,0.8668434969462837,0.8662039636780733,0.0006395332682104016,6,0,4,4792.4,4787.2
DTD,svm,10,0.8694111101905412,0.8683924298272814,0.0010186803632596941,7,0,3,5589.8,4851.2
FMD,resmlp,15,0.978260006320161,0.9769791269032992,0.0012808794168616873,7,3,5,3077.4666666666667,3387.733333333333
FMD,svm,15,0.9765869828050323,0.9819539430104257,-0.005366960205393489,4,1,10,2909.3333333333335,2969.6
Outex13Official1360,resmlp,1,0.9423435812566644,0.9418834643139382,0.0004601169427261853,1,0,0,3682.0,6016.0
Outex13Official1360,svm,1,0.9425742649062628,0.9503098094722332,-0.007735544565970365,0,0,1,5936.0,6272.0
