Data-set,GFS,Top-k,Completa,Individual,Homogenea
CUReT-RESMLP,0.999999354386,0.999999289824,0.999995674383,0.999993802101,0.999999354386
CUReT-SVM,0.999939635047,0.999957841375,0.999947059613,0.999879205533,0.999918846261
DTD-RESMLP,0.992733955828,0.992136491096,0.992767576318,0.990450783418,0.992088922294
DTD-SVM,0.992452792553,0.992090512257,0.992351179463,0.991048623959,0.991951925301
FMD-RESMLP,0.999164814815,0.999361111111,0.997781481481,0.998637037037,0.9994
FMD-SVM,0.998855555556,0.999174074074,0.998457407407,0.998511111111,0.999201851852
Outex-RESMLP,0.99921641791,0.999240561896,0.99882572432,0.998410886743,0.999159350307
Outex-SVM,0.998948639157,0.998672080773,0.999060579456,0.998377963126,0.998792800702
