Data-set,GFS,Top-k,Completa,Individual,Homogenea
CUReT,0.999969494716,0.9999785656,0.999971366998,0.999936503817,0.999959100323
DTD,0.992593374191,0.992113501677,0.992559377891,0.990749703689,0.992020423797
FMD,0.999010185185,0.999267592593,0.998119444444,0.998574074074,0.999300925926
Outex,0.999082528534,0.998956321335,0.998943151888,0.998394424934,0.998976075505
