dataset,split,descriptor,macro_f1,accuracy,train_rows,test_rows,seed,epochs,batch_size,hidden_units,dropout,learning_rate,weight_decay
KTHTIPS2b,1,beitv2_base_final,0.889634298022142,0.8928170594837261,1188,3564,42,100,32,64,0.2,0.001,0.0001
KTHTIPS2b,2,beitv2_base_final,0.9185049596327495,0.9183501683501684,1188,3564,42,100,32,64,0.2,0.001,0.0001
KTHTIPS2b,3,beitv2_base_final,0.8252101515959992,0.8330527497194163,1188,3564,42,100,32,64,0.2,0.001,0.0001
KTHTIPS2b,4,beitv2_base_final,0.8487601960067287,0.8557800224466892,1188,3564,42,100,32,64,0.2,0.001,0.0001
