dataset,classifier,seed,outer_fold,dimensions__best_individual,dimensions__full_concat,dimensions__gfs,dimensions__homogeneous,dimensions__topk_individual,macro_f1__best_individual,macro_f1__full_concat,macro_f1__gfs,macro_f1__homogeneous,macro_f1__topk_individual,inner_best_single,k_gfs,gfs_steps,headroom,completa_menos_gfs
CUReT,resmlp,42,0,384.0,20652.0,1152.0,1152.0,1408.0,0.9949992603626016,0.9982178935113888,0.9971484189474268,0.9971484189474268,0.9975050509159448,0.9978223534602721,2,4,0.002177646539727851,0.001069474563962003
CUReT,resmlp,42,1,1024.0,20652.0,4608.0,2560.0,2944.0,0.9992871574045556,1.0,1.0,0.9992871574045556,0.9992871574045556,0.9956211257262575,4,4,0.004378874273742506,0.0
CUReT,svm,42,0,1024.0,20652.0,3940.0,2944.0,2944.0,0.992881035142622,0.9978615143239336,0.9982176407303268,0.9982176407303268,0.9982178935113888,0.9931770029685212,4,5,0.006822997031478817,-0.00035612640639326454
CUReT,svm,42,1,1024.0,20652.0,4864.0,2944.0,3712.0,0.9967961245753074,1.0,0.9992871574045556,0.9996435787022778,0.9996435787022778,0.9909419097177472,5,5,0.009058090282252795,0.0007128425954443518
DTD,resmlp,42,0,768.0,20652.0,4736.0,2176.0,4480.0,0.8335000064458833,0.8627439954359255,0.8668848649493969,0.8629873610237014,0.8679828675910164,0.829623841398585,6,8,0.17037615860141497,-0.004140869513471368
DTD,resmlp,42,1,768.0,20652.0,2768.0,3328.0,3712.0,0.8445083236095535,0.8608508444407381,0.8600160961901905,0.8595302121981067,0.8672265780220051,0.8273632162824824,5,6,0.17263678371751756,0.0008347482505476345
DTD,resmlp,42,2,768.0,20652.0,5814.0,2944.0,5248.0,0.8366074150825067,0.8689020382592182,0.8662000939155591,0.8671941503755386,0.8670993730058869,0.8306474074939894,7,8,0.16935259250601065,0.002701944343659113
DTD,resmlp,42,3,768.0,20652.0,6784.0,2944.0,5248.0,0.84679865134178,0.8737644591628444,0.8736310084853898,0.8705744791070599,0.8724486019267328,0.8299674922351776,7,8,0.17003250776482237,0.00013345067745462735
DTD,resmlp,42,4,768.0,20652.0,3024.0,2176.0,3712.0,0.842920872801616,0.8684893502009262,0.8629628330658107,0.8594720852548706,0.8579171565955281,0.830291846605839,5,6,0.169708153394161,0.0055265171351155384
DTD,resmlp,42,5,768.0,20652.0,3712.0,2176.0,3712.0,0.8390150612976585,0.8597929111312421,0.8609020746579934,0.8581605906005554,0.8673088956758381,0.8374153678562691,5,7,0.16258463214373087,-0.0011091635267512778
DTD,resmlp,42,6,768.0,20652.0,6400.0,2944.0,4480.0,0.8459125939220944,0.8671692308432718,0.8830313341248496,0.8645532525291423,0.875214062649576,0.8303033512035078,6,8,0.16969664879649216,-0.015862103281577777
DTD,resmlp,42,7,768.0,20652.0,5778.0,2944.0,5248.0,0.8385386813818707,0.8398550113035403,0.8479677534410519,0.8552178192396458,0.855461581075692,0.8399278840938037,7,8,0.1600721159061963,-0.008112742137511564
DTD,resmlp,42,8,768.0,20652.0,3920.0,2176.0,2944.0,0.8265186595220868,0.8634198850565002,0.8603552990070068,0.863390352197988,0.8565847914684861,0.8305043196657022,4,6,0.16949568033429785,0.003064586049493445
DTD,resmlp,42,9,768.0,20652.0,3328.0,2176.0,3328.0,0.8189454650782171,0.8547879092968201,0.8567828965137391,0.8497530184787587,0.8555773879859294,0.8392931792249952,4,6,0.16070682077500476,-0.001994987216918931
DTD,svm,42,0,768.0,20652.0,4352.0,2944.0,3712.0,0.8401804503479369,0.8662832815271709,0.8806984863760254,0.8643807002996545,0.8719645769447979,0.8323869270612757,5,6,0.1676130729387243,-0.014415204848854501
