Data-set,GFS,Top-k,Completa,Individual,Homogenea
CUReT-RESMLP,0.998218104063,0.996970776907,0.999109052031,0.997861724875,0.998396293656
CUReT-SVM,0.998752672844,0.998930862438,0.999109052031,0.994832501782,0.998930862438
DTD-RESMLP,0.866117021277,0.867606382979,0.861489361702,0.84,0.862021276596
DTD-SVM,0.870744680851,0.869734042553,0.866276595745,0.844787234043,0.862287234043
FMD-RESMLP,0.978333333333,0.977,0.953666666667,0.967666666667,0.976
FMD-SVM,0.976666666667,0.982,0.964333333333,0.972666666667,0.979
Outex-RESMLP,0.938235294118,0.944117647059,0.923529411765,0.914705882353,0.926470588235
Outex-SVM,0.942647058824,0.951470588235,0.957352941176,0.910294117647,0.932352941176
