metric,scope,comparison,p_raw,p_holm,p_bergmann
accuracy,primary,Completa vs Individual,0.09353251268909311,0.7482601015127449,0.37413005075637246
accuracy,primary,GFS vs Individual,0.044171344908442677,0.39754210417598407,0.26502806945065605
accuracy,primary,Individual vs Homogenea,0.14610046596342235,1.0227032617439564,0.5844018638536894
accuracy,primary,Top-k vs Individual,0.007290358091535623,0.07290358091535623,0.07290358091535623
accuracy,sensitivity,Completa vs Individual,0.03983261924474151,0.2788283347131906,0.15933047697896605
accuracy,sensitivity,GFS vs Individual,0.004426525857919861,0.03983873272127875,0.026559155147519165
accuracy,sensitivity,Individual vs Homogenea,0.03279881386554569,0.2623905109243655,0.13119525546218275
accuracy,sensitivity,Top-k vs Individual,0.0011897145041076423,0.011897145041076423,0.011897145041076423
auc_roc_ovr_macro,primary,Completa vs Individual,0.17971249487899987,1.2579874641529991,0.7188499795159995
auc_roc_ovr_macro,primary,GFS vs Individual,0.013906296895346039,0.13906296895346038,0.13906296895346038
auc_roc_ovr_macro,primary,Individual vs Homogenea,0.07363827012030265,0.5891061609624212,0.2945530804812106
auc_roc_ovr_macro,primary,Top-k vs Individual,0.02534731867746826,0.22812586809721433,0.15208391206480956
auc_roc_ovr_macro,sensitivity,Completa vs Individual,0.026856695507524436,0.18799686855267106,0.10742678203009774
auc_roc_ovr_macro,sensitivity,GFS vs Individual,0.0011897145041076423,0.011897145041076423,0.011897145041076423
auc_roc_ovr_macro,sensitivity,Individual vs Homogenea,0.009083933817374282,0.07267147053899425,0.03633573526949713
auc_roc_ovr_macro,sensitivity,Top-k vs Individual,0.0026631192591385993,0.023968073332247392,0.015978715554831595
balanced_accuracy,primary,Completa vs Individual,0.09353251268909311,0.7482601015127449,0.37413005075637246
balanced_accuracy,primary,GFS vs Individual,0.044171344908442677,0.39754210417598407,0.26502806945065605
balanced_accuracy,primary,Individual vs Homogenea,0.14610046596342235,1.0227032617439564,0.5844018638536894
balanced_accuracy,primary,Top-k vs Individual,0.007290358091535623,0.07290358091535623,0.07290358091535623
balanced_accuracy,sensitivity,Completa vs Individual,0.03983261924474151,0.2788283347131906,0.15933047697896605
balanced_accuracy,sensitivity,GFS vs Individual,0.004426525857919861,0.03983873272127875,0.026559155147519165
balanced_accuracy,sensitivity,Individual vs Homogenea,0.03279881386554569,0.2623905109243655,0.13119525546218275
balanced_accuracy,sensitivity,Top-k vs Individual,0.0011897145041076423,0.011897145041076423,0.011897145041076423
macro_f1,primary,Completa vs Individual,0.11752486809663915,0.9401989447731132,0.4700994723865566
macro_f1,primary,GFS vs Individual,0.02534731867746826,0.22812586809721433,0.15208391206480956
macro_f1,primary,Individual vs Homogenea,0.17971249487899987,1.2579874641529991,1.0782749692739992
macro_f1,primary,Top-k vs Individual,0.007290358091535623,0.07290358091535623,0.07290358091535623
macro_f1,sensitivity,Completa vs Individual,0.03983261924474151,0.3186609539579321,0.15933047697896605
macro_f1,sensitivity,GFS vs Individual,0.004426525857919861,0.03983873272127875,0.026559155147519165
macro_f1,sensitivity,Individual vs Homogenea,0.03983261924474151,0.3186609539579321,0.15933047697896605
macro_f1,sensitivity,Top-k vs Individual,0.0008989127881140918,0.008989127881140917,0.008989127881140917
precision_macro,primary,Completa vs Individual,0.11752486809663915,0.9401989447731132,0.4700994723865566
precision_macro,primary,GFS vs Individual,0.02534731867746826,0.22812586809721433,0.15208391206480956
precision_macro,primary,Individual vs Homogenea,0.17971249487899987,1.2579874641529991,1.0782749692739992
precision_macro,primary,Top-k vs Individual,0.007290358091535623,0.07290358091535623,0.07290358091535623
precision_macro,sensitivity,Completa vs Individual,0.03983261924474151,0.2788283347131906,0.15933047697896605
precision_macro,sensitivity,GFS vs Individual,0.004426525857919861,0.03983873272127875,0.026559155147519165
precision_macro,sensitivity,Individual vs Homogenea,0.026856695507524436,0.21485356406019548,0.10742678203009774
precision_macro,sensitivity,Top-k vs Individual,0.0015654022580025829,0.01565402258002583,0.01565402258002583
recall_macro,primary,Completa vs Individual,0.09353251268909311,0.7482601015127449,0.37413005075637246
recall_macro,primary,GFS vs Individual,0.044171344908442677,0.39754210417598407,0.26502806945065605
recall_macro,primary,Individual vs Homogenea,0.14610046596342235,1.0227032617439564,0.5844018638536894
recall_macro,primary,Top-k vs Individual,0.007290358091535623,0.07290358091535623,0.07290358091535623
recall_macro,sensitivity,Completa vs Individual,0.03983261924474151,0.2788283347131906,0.15933047697896605
recall_macro,sensitivity,GFS vs Individual,0.004426525857919861,0.03983873272127875,0.026559155147519165
recall_macro,sensitivity,Individual vs Homogenea,0.03279881386554569,0.2623905109243655,0.13119525546218275
recall_macro,sensitivity,Top-k vs Individual,0.0011897145041076423,0.011897145041076423,0.011897145041076423
