dataset,classifier,comparison,n_splits,delta_mean,ci95_low,ci95_high,wins,ties,losses,practical_equivalence_rate,wilcoxon_p_uncorrected,inference_note,wilcoxon_p_holm
SoilOriginal,resmlp,gfs_vs_best_individual,15,0.015288436189550973,0.0007675761904953698,0.030138781586917712,10,0,5,0.26666666666666666,0.1353759765625,outer splits overlap across repetitions; treat split-level inference as descriptive,0.4061279296875
SoilOriginal,resmlp,gfs_vs_full_concat,15,0.007544756235088841,-0.002901743554207732,0.01771545942157705,10,0,5,0.26666666666666666,0.22930908203125,outer splits overlap across repetitions; treat split-level inference as descriptive,0.4586181640625
SoilOriginal,svm,gfs_vs_best_individual,15,0.00836801585702065,0.0012019926068502415,0.015480364165123052,9,1,5,0.4,0.08309877596458362,outer splits overlap across repetitions; treat split-level inference as descriptive,0.3323951038583345
SoilOriginal,svm,gfs_vs_full_concat,15,-0.005641490751330128,-0.019473064590044147,0.00815047521258667,5,0,10,0.3333333333333333,0.389404296875,outer splits overlap across repetitions; treat split-level inference as descriptive,0.4586181640625
