dataset,classifier,method,n,macro_f1_mean,macro_f1_std
Outex13Official1360,resmlp,best_homogeneous_self_supervised,1,0.9305568890688314,
Outex13Official1360,resmlp,best_individual,1,0.9177604984410884,
Outex13Official1360,resmlp,full_concat,1,0.9541767486699112,
Outex13Official1360,resmlp,gfs,1,0.9423435812566644,
Outex13Official1360,svm,best_homogeneous_self_supervised,1,0.9307499020892676,
Outex13Official1360,svm,best_individual,1,0.9066117521911786,
Outex13Official1360,svm,full_concat,1,0.9572031312147552,
Outex13Official1360,svm,gfs,1,0.9425742649062628,
