dataset,classifier,comparison,n_splits,delta_mean,ci95_low,ci95_high,wins,ties,losses,practical_equivalence_rate,wilcoxon_p_uncorrected,inference_note,wilcoxon_p_holm
Outex13Official1360,resmlp,gfs_vs_best_individual,1,0.024583082815575974,,,1,0,0,0.0,,single official split; effect size is descriptive only; split-level CI and Wilcoxon intentionally omitted,
Outex13Official1360,resmlp,gfs_vs_full_concat,1,-0.011833167413246803,,,0,0,1,0.0,,single official split; effect size is descriptive only; split-level CI and Wilcoxon intentionally omitted,
Outex13Official1360,svm,gfs_vs_best_individual,1,0.035962512715084216,,,1,0,0,0.0,,single official split; effect size is descriptive only; split-level CI and Wilcoxon intentionally omitted,
Outex13Official1360,svm,gfs_vs_full_concat,1,-0.014628866308492361,,,0,0,1,0.0,,single official split; effect size is descriptive only; split-level CI and Wilcoxon intentionally omitted,
