model,strategy,dataset,n_samples,n_classes,mean_f1,std_f1,mean_acc,std_acc,elapsed_s
dinov2,last,DTD,5640,47,0.8506576935099723,0.0074816158963767,0.851418439716312,0.0057343835563107,2784.8
dinov2,last,FMD,1000,10,0.9529727812413724,0.0156728388829676,0.953,0.0156843871413581,419.2
dinov2,last,KTH-TIPS2-b,3564,11,0.999440526335609,0.0006852125011416,0.9994385962147596,0.0006875766889224,1474.9
dinov2,last,VisTex,167,23,0.810545112781955,0.0496483243687796,0.8746880570409982,0.0330879277010256,75.6
dinov2,lora,DTD,5640,47,0.8521456841406776,0.006757288678687831,0.8533687943262411,0.00618283538090875,7209.3
dinov2,lora,FMD,1000,10,0.9529858661568964,0.012202218045296337,0.9530000000000001,0.012083045973594582,1297.5
dinov2,lora,GTOS-Mobile,4991,31,0.9802819705171368,0.004691973748542148,0.980364532869543,0.004596635088910591,6718.4
dinov2,lora,KTH-TIPS2-b,3564,11,0.9985991640172361,0.0008846160038209202,0.9985970814882519,0.0008870347567329045,4617.0
dinov2,lora,VisTex,167,23,0.6190154076870868,0.07231607377102403,0.7614973262032085,0.07916846962150341,238.4
