dataset,clf,step,added,selected,n_selected,f1,std_f1,acc,dim,delta
FMD,svm,1,dinov2,dinov2,1,0.9570619215520251,0.016216570284695746,0.9570000000000001,768,0.9570619215520251
FMD,svm,2,dinov2_large,dinov2 + dinov2_large,2,0.9730245714569087,0.011612040267350117,0.9729999999999999,1792,0.015962649904883608
FMD,svm,3,gabor,dinov2 + dinov2_large + gabor,3,0.9720478002606253,0.010271601872879878,0.9719999999999999,1840,-0.0009767711962833658
