dataset,clf,comparison,method_a,method_b,mean_a,mean_b,delta,t_stat,p_value,cohens_d,a_better,p_value_holm,significant_05,significant_01,significant_001
Soil,svm,GFS_vs_Prefix_k17,GFS_step5 (efficientnet_b0 + vit_b16 + dinov2 + resnet101 + l),Prefix_concat_k17,0.9062724934102903,0.9037190997248089,0.0025533936854813533,0.6125011573743074,0.5733150927574586,0.2739188448078645,True,1.0,False,False,False
Soil,svm,GFS_vs_BestIndividual,GFS_step5 (efficientnet_b0 + vit_b16 + dinov2 + resnet101 + l),Individual_efficientnet_b0,0.9062724934102903,0.831381072005294,0.07489142140499627,6.565587665039301,0.0027842494389765994,2.936220066137281,True,0.05011648990157879,False,False,False
Soil,knn,GFS_vs_Prefix_k17,GFS_step3 (resnet101 + vit_b16 + gabor),Prefix_concat_k17,0.8270104727020338,0.8133639319672257,0.013646540734808088,0.4457669754299154,0.6788295769247548,0.19935305183424162,True,1.0,False,False,False
Soil,knn,GFS_vs_BestIndividual,GFS_step3 (resnet101 + vit_b16 + gabor),Individual_efficientnet_b0,0.8270104727020338,0.7956561837103145,0.031354288991719215,1.949080843158935,0.12308697974792568,0.8716554517649647,True,0.9663972258621027,False,False,False
Soil,rf,GFS_vs_Prefix_k17,GFS_step2 (densenet121 + dinov2),Prefix_concat_k17,0.8004426921706852,0.7543113755154535,0.046131316655231736,4.433868503873625,0.011387847712044593,1.9828862755061116,True,0.23914480195293644,False,False,False
Soil,rf,GFS_vs_BestIndividual,GFS_step2 (densenet121 + dinov2),Individual_densenet121,0.8004426921706852,0.7756315624409735,0.024811129729711667,1.9969093228777615,0.11652708584417466,0.8930449981394062,True,0.9663972258621027,False,False,False
Soil,resmlp,GFS_vs_Prefix_k17,GFS_step3 (densenet121 + vit_b16 + dinov2_large),Prefix_concat_k17,0.9018197496252676,0.8838667278682324,0.01795302175703517,1.5937470954955657,0.18621589774135833,0.7127453688658905,True,1.0,False,False,False
Soil,resmlp,GFS_vs_BestIndividual,GFS_step3 (densenet121 + vit_b16 + dinov2_large),Individual_vit_b16,0.9018197496252676,0.8579160375065064,0.04390371211876121,3.0324389516714563,0.038687878709948435,1.3561479266692251,True,0.4642545445193812,False,False,False
VisTex,svm,GFS_vs_Prefix_k17,GFS_step3 (dinov2 + convnext_v2_t + drlbp),Prefix_concat_k17,0.9024837556855101,0.8655098394133482,0.036973916272161844,2.4391397007895117,0.07127451102637848,1.0908164354845875,True,0.9265686433429202,False,False,False
VisTex,svm,GFS_vs_BestIndividual,GFS_step3 (dinov2 + convnext_v2_t + drlbp),Individual_dinov2,0.9024837556855101,0.7304820131135921,0.17200174257191803,6.979261584518023,0.0022166360594329964,3.1212206670904,True,0.044332721188659927,True,False,False
VisTex,knn,GFS_vs_Prefix_k17,GFS_step1 (dinov2),Prefix_concat_k17,0.7343150932887775,0.6345932755168345,0.099721817771943,12.764861860276907,0.00021703190368215292,5.708619768267925,True,0.00520876568837167,True,True,False
VisTex,knn,GFS_vs_BestIndividual,GFS_step1 (dinov2),Individual_dinov2,0.7343150932887775,0.7343150932887775,0.0,,,0.0,False,1.0,False,False,False
VisTex,rf,GFS_vs_Prefix_k17,GFS_step2 (dinov2_small + gabor),Prefix_concat_k17,0.7747218973359324,0.731654970760234,0.04306692657569844,0.8586817281089966,0.43892713057339483,0.38401414301431747,True,1.0,False,False,False
VisTex,rf,GFS_vs_BestIndividual,GFS_step2 (dinov2_small + gabor),Individual_dinov2_small,0.7747218973359324,0.7419561867632043,0.032765710572728146,0.7786684444575852,0.47966782675545955,0.34823111474453494,True,1.0,False,False,False
VisTex,resmlp,GFS_vs_Prefix_k17,GFS_step3 (dinov2_large + convnext_v2_t + drlbp),Prefix_concat_k17,0.9236892230576441,0.8743107769423558,0.0493784461152883,1.9533567262504277,0.12248443167791007,0.8735676848250262,True,1.0,False,False,False
VisTex,resmlp,GFS_vs_BestIndividual,GFS_step3 (dinov2_large + convnext_v2_t + drlbp),Individual_dinov2_large,0.9236892230576441,0.8819244871437852,0.041764735913858875,2.2047416881578763,0.09216431808612832,0.9859904574864535,True,0.9216431808612833,False,False,False
