dataset,k,extractors,clf,dim,mean_accuracy,std_accuracy,mean_f1,std_f1,time_s
FMD,13,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t,svm,14764,0.914,0.015937377450509205,0.913910237360815,0.016920663304102662,9.0
FMD,13,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t,knn,14764,0.857,0.019646882704388517,0.8567419709948405,0.020353949928218186,0.6
FMD,13,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t,rf,14764,0.8310000000000001,0.02083266665599963,0.8307614694686203,0.021489879688506835,2.7
FMD,13,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t,resmlp,14764,0.9029999999999999,0.012884098726725137,0.9028133742421787,0.014018317191202594,4.8
FMD,14,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s,svm,15148,0.916,0.02034698994937578,0.9162263029851354,0.02089521158094417,9.0
FMD,14,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s,knn,15148,0.852,0.018601075237738292,0.8513590018181425,0.019385217280593125,0.6
FMD,14,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s,rf,15148,0.842,0.012884098726725137,0.8420731359099145,0.012943231491958227,2.7
FMD,14,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s,resmlp,15148,0.9040000000000001,0.014282856857085711,0.9034238040531142,0.01539691640014145,5.3
FMD,15,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s + dinov2_small,svm,15532,0.925,0.01341640786499871,0.9250936982586669,0.014338064112273707,9.2
FMD,15,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s + dinov2_small,knn,15532,0.865,0.013784048752090234,0.8643634706651693,0.013693489626058982,0.6
FMD,15,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s + dinov2_small,rf,15532,0.85,0.013784048752090234,0.8490289774984513,0.014253600184839526,2.8
FMD,15,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s + dinov2_small,resmlp,15532,0.915,0.020248456731316575,0.9144735178195786,0.021061974947215716,4.7
FMD,16,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s + dinov2_small + dinov2,svm,16300,0.9359999999999999,0.014628738838327757,0.9358284533048723,0.015507012175427895,9.3
FMD,16,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s + dinov2_small + dinov2,knn,16300,0.8859999999999999,0.0058309518948453055,0.8849790833893291,0.006644286585764924,0.6
FMD,16,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s + dinov2_small + dinov2,rf,16300,0.8480000000000001,0.02088061301782112,0.8484627682199193,0.020441766708005217,2.9
FMD,16,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s + dinov2_small + dinov2,resmlp,16300,0.9280000000000002,0.021118712081942864,0.9278048450171326,0.02175373228191122,5.2
FMD,17,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s + dinov2_small + dinov2 + dinov2_large,svm,17324,0.9480000000000001,0.012884098726725114,0.9479805412988981,0.013172845124050125,9.9
FMD,17,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s + dinov2_small + dinov2 + dinov2_large,knn,17324,0.892,0.007483314773547889,0.8909822073987472,0.008608425382842639,0.7
FMD,17,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s + dinov2_small + dinov2 + dinov2_large,rf,17324,0.8790000000000001,0.012409673645990868,0.8783194638457786,0.011835694251757949,3.0
FMD,17,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s + dinov2_small + dinov2 + dinov2_large,resmlp,17324,0.9359999999999999,0.010198039027185529,0.9360035676088898,0.010648487499951396,5.5
FMD,18,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s + dinov2_small + dinov2 + dinov2_large + eva02_base,svm,18092,0.9559999999999998,0.01067707825203132,0.9560416391780097,0.010799414826468146,9.8
FMD,18,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s + dinov2_small + dinov2 + dinov2_large + eva02_base,knn,18092,0.9019999999999999,0.011224972160321834,0.9011148883797064,0.012600036969616056,0.7
FMD,18,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s + dinov2_small + dinov2 + dinov2_large + eva02_base,rf,18092,0.89,0.015165750888103116,0.890044130347985,0.015151528599666496,3.1
FMD,18,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s + dinov2_small + dinov2 + dinov2_large + eva02_base,resmlp,18092,0.95,0.009999999999999976,0.9499088450433645,0.010260185503227846,5.3
FMD,19,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s + dinov2_small + dinov2 + dinov2_large + eva02_base + mae_base,svm,18860,0.9559999999999998,0.01067707825203132,0.9560025655291797,0.010841545510812152,9.1
FMD,19,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s + dinov2_small + dinov2 + dinov2_large + eva02_base + mae_base,knn,18860,0.901,0.01067707825203132,0.9001167645523143,0.012015015458838164,0.7
FMD,19,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s + dinov2_small + dinov2 + dinov2_large + eva02_base + mae_base,rf,18860,0.891,0.011575836902790236,0.8911155997954519,0.011674679991126076,3.2
FMD,19,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s + dinov2_small + dinov2 + dinov2_large + eva02_base + mae_base,resmlp,18860,0.9540000000000001,0.005830951894845306,0.9540058742285209,0.006009930832136246,5.7
FMD,20,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s + dinov2_small + dinov2 + dinov2_large + eva02_base + mae_base + siglip_base,svm,19628,0.961,0.01019803902718558,0.9610047555513418,0.010298410047966363,9.1
FMD,20,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s + dinov2_small + dinov2 + dinov2_large + eva02_base + mae_base + siglip_base,knn,19628,0.9030000000000001,0.014696938456699083,0.9023121565773445,0.016082789377952163,0.8
FMD,20,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s + dinov2_small + dinov2 + dinov2_large + eva02_base + mae_base + siglip_base,rf,19628,0.906,0.015297058540778367,0.9060720983627203,0.015402352093092101,3.2
FMD,20,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s + dinov2_small + dinov2 + dinov2_large + eva02_base + mae_base + siglip_base,resmlp,19628,0.954,0.014628738838327807,0.9539129135907055,0.014731124969913295,5.7
