experiment,dataset,strategy,extractor,clf,mean_f1,std_f1,n_samples,emb_dim
Exp1_linear_probing,GTOS-Mobile,linear_probe,vit_b16,svm,0.0306420018632062,0.002719181787132,4991,768
Exp1_linear_probing,KTH-TIPS2-b,linear_probe,convnext_v2_t,knn,0.9983170231364704,0.0016381741875988,3564,768
Exp1_linear_probing,KTH-TIPS2-b,linear_probe,deit_s,svm,0.9960891439134416,0.0022245120077808,3564,384
Exp1_linear_probing,KTH-TIPS2-b,linear_probe,densenet121,knn,0.995527967943468,0.0018453006738032,3564,1024
Exp1_linear_probing,KTH-TIPS2-b,linear_probe,dinov2,svm,0.9988788496279926,0.0010502154139078,3564,768
Exp1_linear_probing,KTH-TIPS2-b,linear_probe,dinov2_large,knn,0.9988788496279926,0.0010502154139078,3564,1024
Exp1_linear_probing,KTH-TIPS2-b,linear_probe,dinov2_small,svm,0.9983192600727624,0.0005585790808035,3564,384
Exp1_linear_probing,KTH-TIPS2-b,linear_probe,drlbp,knn,0.734898591339727,0.0124590094992461,3564,80
Exp1_linear_probing,KTH-TIPS2-b,linear_probe,efficientnet_b0,knn,0.9952240171488276,0.0014358885552767,3564,1280
Exp1_linear_probing,KTH-TIPS2-b,linear_probe,gabor,knn,0.8232869314990048,0.0136747325054277,3564,48
Exp1_linear_probing,KTH-TIPS2-b,linear_probe,glcm,knn,0.5993969904666938,0.0188284656180194,3564,18
Exp1_linear_probing,KTH-TIPS2-b,linear_probe,hog,knn,0.5254499625961385,0.0049087678404968,3564,1764
Exp1_linear_probing,KTH-TIPS2-b,linear_probe,lbp,knn,0.8932495568886372,0.0070275594431258,3564,54
Exp1_linear_probing,KTH-TIPS2-b,linear_probe,resnet101,knn,0.993555721183442,0.0022753646205428,3564,2048
Exp1_linear_probing,KTH-TIPS2-b,linear_probe,resnet50,knn,0.9935472968077508,0.0019194214417905,3564,2048
Exp1_linear_probing,KTH-TIPS2-b,linear_probe,swin_t,knn,0.997199894145084,0.0023422869453857,3564,768
Exp1_linear_probing,KTH-TIPS2-b,linear_probe,vgg16,knn,0.9895914972247144,0.0051008483637719,3564,4096
Exp1_linear_probing,KTH-TIPS2-b,linear_probe,vit_b16,knn,0.9988788496279926,0.0010472553443679,3564,768
Exp1_linear_probing,VisTex,linear_probe,convnext_v2_t,svm,0.6496373509531405,0.0690479213461193,167,768
Exp1_linear_probing,VisTex,linear_probe,deit_s,knn,0.6242295620002387,0.1052976261048829,167,384
Exp1_linear_probing,VisTex,linear_probe,densenet121,knn,0.6207205513784461,0.1203453129492917,167,1024
Exp1_linear_probing,VisTex,linear_probe,dinov2,knn,0.7343150932887775,0.0547019095081636,167,768
Exp1_linear_probing,VisTex,linear_probe,dinov2_large,svm,0.7204899791566459,0.1077560085161221,167,1024
Exp1_linear_probing,VisTex,linear_probe,dinov2_small,knn,0.6824022556390977,0.0387984213968967,167,384
Exp1_linear_probing,VisTex,linear_probe,drlbp,knn,0.3204897959183673,0.025697713138504,167,80
Exp1_linear_probing,VisTex,linear_probe,efficientnet_b0,svm,0.6574039982110157,0.0659636862070964,167,1280
Exp1_linear_probing,VisTex,linear_probe,gabor,knn,0.2636450216450215,0.0584318451033976,167,48
Exp1_linear_probing,VisTex,linear_probe,glcm,knn,0.2480151284007118,0.0607788605326837,167,18
Exp1_linear_probing,VisTex,linear_probe,hog,knn,0.1776182586094866,0.0561785864157282,167,1764
Exp1_linear_probing,VisTex,linear_probe,lbp,knn,0.4304089390142021,0.0358919592864352,167,54
Exp1_linear_probing,VisTex,linear_probe,resnet101,knn,0.6188195488721805,0.0592146972727149,167,2048
Exp1_linear_probing,VisTex,linear_probe,resnet50,knn,0.598375104427736,0.0664211475366817,167,2048
Exp1_linear_probing,VisTex,linear_probe,swin_t,svm,0.6603506850524395,0.084357840317531,167,768
