dataset,clf,step,added,selected,n_selected,f1,std_f1,acc,dim,delta
KTH-TIPS2,svm,1,dinov2,dinov2,1,0.99890925558962,0.0006694154256736964,0.9989149302488807,768,0.99890925558962
KTH-TIPS2,svm,2,swin_t,dinov2 + swin_t,2,0.999560847864313,0.0005378494777666142,0.9995656894679696,1536,0.0006515922746930247
KTH-TIPS2,svm,3,dinov2_large,dinov2 + swin_t + dinov2_large,3,0.9997805517273288,0.0004388965453422156,0.9997828447339849,2560,0.000219703863015841
KTH-TIPS2,svm,4,vit_b16,dinov2 + swin_t + dinov2_large + vit_b16,4,0.9997805517273288,0.0004388965453422156,0.9997828447339849,3328,0.0
