dataset,strategy,n_ext,dim,f1,std_f1,acc,time_s,weights
FMD,concat,2,1792,0.9730245714569087,0.011612040267350117,0.9729999999999999,6.8,
FMD,sum_pca,2,128,0.9440602160636195,0.011164625369442889,0.944,29.7,
FMD,weighted_sum_pca,2,128,0.9441618936556694,0.013756641019104588,0.944,200.1,"[2.0, 0.5]"
FMD,bilinear_top2,2,16384,0.8250420110507269,0.024406992765571144,0.8030000000000002,1295.1,
