dataset,extractor,clf,n_samples,n_classes,emb_dim,mean_accuracy,std_accuracy,mean_f1,std_f1,best_params,time_s
CUReT,mae_base,resmlp,6100,61,768,0.9749180327868853,0.0055496101245281005,0.9749135922185719,0.005498588983570987,"{'hidden_dim': 256, 'n_blocks': 3, 'dropout': 0.1, 'max_epochs': 100, 'patience': 10, 'batch_size': 256}",7.4
CUReT,siglip_base,svm,6100,61,768,0.9836065573770492,0.0014662740836064011,0.9836607081038267,0.0015083911279268622,"{'kernel': 'linear', 'C': 1.0}",11.1
CUReT,siglip_base,knn,6100,61,768,0.9749180327868853,0.0023529016548208435,0.975004360792705,0.0023337899134612517,"{'n_neighbors': 5, 'weights': 'distance'}",0.3
CUReT,siglip_base,rf,6100,61,768,0.9704918032786886,0.005486295255961162,0.9704900947842938,0.005562470058638503,"{'n_estimators': 100, 'max_depth': None, 'n_jobs': -1}",11.4
CUReT,siglip_base,resmlp,6100,61,768,0.9952459016393442,0.002099384995879645,0.9952457546550436,0.0020800431680816824,"{'hidden_dim': 256, 'n_blocks': 3, 'dropout': 0.1, 'max_epochs': 100, 'patience': 10, 'batch_size': 256}",6.8
CUReT,vgg16,svm,6100,61,4096,0.962295081967213,0.00457843935861277,0.9624932353549637,0.004609489237498093,"{'kernel': 'linear', 'C': 1.0}",64.3
CUReT,vgg16,knn,6100,61,4096,0.9437704918032788,0.0037953563615705584,0.9439069825112696,0.0038654849689847754,"{'n_neighbors': 5, 'weights': 'distance'}",2.0
CUReT,vgg16,rf,6100,61,4096,0.9481967213114754,0.002996010964343788,0.9481249859830966,0.0026164618615517367,"{'n_estimators': 100, 'max_depth': None, 'n_jobs': -1}",11.0
CUReT,vgg16,resmlp,6100,61,4096,0.9854098360655736,0.0026636191490609896,0.9854041679745865,0.002699684289721481,"{'hidden_dim': 256, 'n_blocks': 3, 'dropout': 0.1, 'max_epochs': 100, 'patience': 10, 'batch_size': 256}",7.8
CUReT,resnet50,svm,6100,61,2048,0.9818032786885246,0.005446966467487262,0.9818081351364321,0.0054927208492329726,"{'kernel': 'linear', 'C': 1.0}",31.1
CUReT,resnet50,knn,6100,61,2048,0.960983606557377,0.006966730937992058,0.9610233267375132,0.0070618967255799275,"{'n_neighbors': 5, 'weights': 'distance'}",0.8
CUReT,resnet50,rf,6100,61,2048,0.9657377049180328,0.003040530654260894,0.9655786028417342,0.003035462026220982,"{'n_estimators': 100, 'max_depth': None, 'n_jobs': -1}",15.2
CUReT,resnet50,resmlp,6100,61,2048,0.9962295081967213,0.0008359048382939193,0.9962304440090168,0.0008394062209030352,"{'hidden_dim': 256, 'n_blocks': 3, 'dropout': 0.1, 'max_epochs': 100, 'patience': 10, 'batch_size': 256}",10.7
CUReT,resnet101,svm,6100,61,2048,0.9826229508196722,0.005897083852001618,0.9826679498463937,0.005853676301285425,"{'kernel': 'linear', 'C': 1.0}",33.2
CUReT,resnet101,knn,6100,61,2048,0.9639344262295083,0.003319419136281399,0.9639963414576214,0.003352096605581459,"{'n_neighbors': 5, 'weights': 'distance'}",1.0
CUReT,resnet101,rf,6100,61,2048,0.9598360655737705,0.008705520031050332,0.9597432063998482,0.008550368033896326,"{'n_estimators': 100, 'max_depth': None, 'n_jobs': -1}",17.6
CUReT,resnet101,resmlp,6100,61,2048,0.9972131147540985,0.0013318095745304688,0.9972110627505311,0.0013330120372360373,"{'hidden_dim': 256, 'n_blocks': 3, 'dropout': 0.1, 'max_epochs': 100, 'patience': 10, 'batch_size': 256}",11.1
CUReT,densenet121,svm,6100,61,1024,0.9813114754098361,0.002223714748565634,0.9814287160364691,0.0022455520284407737,"{'kernel': 'linear', 'C': 1.0}",15.2
CUReT,densenet121,knn,6100,61,1024,0.9708196721311475,0.0032208004433423565,0.9708616521815534,0.0031452216219362283,"{'n_neighbors': 5, 'weights': 'distance'}",0.4
CUReT,densenet121,rf,6100,61,1024,0.9813114754098361,0.0031703409189858455,0.9812410149441554,0.0031980033287527234,"{'n_estimators': 100, 'max_depth': None, 'n_jobs': -1}",11.0
CUReT,densenet121,resmlp,6100,61,1024,0.9957377049180328,0.002453545827392761,0.9957289696421412,0.0024535869797713225,"{'hidden_dim': 256, 'n_blocks': 3, 'dropout': 0.1, 'max_epochs': 100, 'patience': 10, 'batch_size': 256}",7.5
CUReT,efficientnet_b0,svm,6100,61,1280,0.9870491803278689,0.0029049254338802378,0.9870248893074101,0.0029585265558578723,"{'kernel': 'linear', 'C': 1.0}",18.7
CUReT,efficientnet_b0,knn,6100,61,1280,0.9627868852459016,0.004477541076638557,0.9628467476451397,0.004450849081146807,"{'n_neighbors': 5, 'weights': 'distance'}",0.5
CUReT,efficientnet_b0,rf,6100,61,1280,0.9657377049180328,0.005446966467487262,0.9656170272660493,0.005563312728176134,"{'n_estimators': 100, 'max_depth': None, 'n_jobs': -1}",15.3
CUReT,efficientnet_b0,resmlp,6100,61,1280,0.9968852459016393,0.0006133864568481795,0.996905982815154,0.0006227981210815133,"{'hidden_dim': 256, 'n_blocks': 3, 'dropout': 0.1, 'max_epochs': 100, 'patience': 10, 'batch_size': 256}",6.9
CUReT,convnext_v2_t,svm,6100,61,768,0.9885245901639343,0.002839427553391618,0.9885530014442219,0.0028339139919863637,"{'kernel': 'linear', 'C': 1.0}",10.8
CUReT,convnext_v2_t,knn,6100,61,768,0.9583606557377049,0.0048464739341293256,0.9585102961216083,0.004823384396545201,"{'n_neighbors': 5, 'weights': 'distance'}",0.4
CUReT,convnext_v2_t,rf,6100,61,768,0.9555737704918033,0.006336441996750046,0.9554198956260793,0.006362885305359583,"{'n_estimators': 100, 'max_depth': None, 'n_jobs': -1}",12.0
CUReT,convnext_v2_t,resmlp,6100,61,768,0.9957377049180328,0.0012046670866147143,0.9957256904448555,0.001211661848091156,"{'hidden_dim': 256, 'n_blocks': 3, 'dropout': 0.1, 'max_epochs': 100, 'patience': 10, 'batch_size': 256}",7.3
CUReT,lbp,svm,6100,61,54,0.15786885245901638,0.005878826582636427,0.15186419354228192,0.009226531604705544,"{'kernel': 'linear', 'C': 1.0}",5.3
CUReT,lbp,knn,6100,61,54,0.6740983606557377,0.014904515583843567,0.6774519910720878,0.013975571543622216,"{'n_neighbors': 5, 'weights': 'distance'}",0.1
CUReT,lbp,rf,6100,61,54,0.7777049180327869,0.007058704964462636,0.7809431334492919,0.0067271580140708265,"{'n_estimators': 100, 'max_depth': None, 'n_jobs': -1}",2.9
CUReT,lbp,resmlp,6100,61,54,0.7965573770491803,0.05273085306365986,0.7965298805534082,0.05121626272375502,"{'hidden_dim': 256, 'n_blocks': 3, 'dropout': 0.1, 'max_epochs': 100, 'patience': 10, 'batch_size': 256}",12.3
CUReT,glcm,svm,6100,61,18,0.13508196721311475,0.004956136543551137,0.07990565982067718,0.004625589962475785,"{'kernel': 'linear', 'C': 1.0}",4.2
