dataset,clf,step,added,selected,n_selected,f1,std_f1,acc,dim,delta
VisTex,svm,1,dinov2,dinov2,1,0.7304820131135921,0.0633311662995524,0.8390374331550803,768,0.7304820131135921
VisTex,svm,2,dinov2_large,dinov2 + dinov2_large,2,0.9004556677890012,0.08345412871752066,0.9171122994652408,1792,0.16997365467540915
VisTex,svm,3,resnet50,dinov2 + dinov2_large + resnet50,3,0.9172738791423001,0.05040878869859629,0.9347593582887701,3840,0.016818211353298862
VisTex,svm,4,drlbp,dinov2 + dinov2_large + resnet50 + drlbp,4,0.9181627680311891,0.04943549052838514,0.9347593582887701,3920,0.00088888888888905
VisTex,svm,5,lbp,dinov2 + dinov2_large + resnet50 + drlbp + lbp,5,0.9227923976608187,0.04549651227119571,0.9406417112299466,3974,0.004629629629629539
VisTex,svm,6,glcm,dinov2 + dinov2_large + resnet50 + drlbp + lbp + glcm,6,0.9178541260558803,0.04974830008877045,0.9347593582887701,3992,-0.004938271604938316
