dataset,linear_best_extractor,linear_F1,lora_F1,last_F1,gfs_F1,gfs_subset
DTD,dinov2,0.8419999489268051,0.8521456841406776,0.8506576935099723,0.8682765980317141,dinov2 + resnet50 + dinov2_large + glcm
FMD,dinov2,0.9570619215520252,0.9529858661568964,0.9529727812413724,0.9730245714569088,dinov2 + dinov2_large
KTH-TIPS2-b,dinov2,0.9988788496279926,0.998599164017236,0.999440526335609,0.9997202631678044,dinov2 + dinov2_large
GTOS-Mobile,vit_b16,0.0306420018632062,0.9802819705171368,,,n/a
VisTex,dinov2,0.7304820131135921,0.6190154076870868,0.810545112781955,0.9227923976608188,dinov2 + dinov2_large + resnet50 + drlbp + lbp
