dataset,clf,best_extractor,best_mean_f1,best_std_f1,comparison_extractor,comparison_mean_f1,comparison_std_f1,delta,t_stat,p_value,p_value_holm,cohens_d,rank,significant_05,significant_01,significant_001
DTD,knn,dinov2,0.8029679400142475,0.01033391078401281,convnext_v2_t,0.719187252967006,0.01149084285518059,0.08378068704724151,11.74032795680824,0.0003011005297692208,0.0012044021190768832,5.2504342775838495,1,True,True,False
DTD,knn,dinov2,0.8029679400142475,0.01033391078401281,deit_s,0.62710531525479,0.01509809471751619,0.17586262475945758,21.32767099159443,2.857847651819354e-05,0.000273924849424054,9.538024427273797,2,True,True,True
DTD,knn,dinov2,0.8029679400142475,0.01033391078401281,densenet121,0.6814239592294645,0.008904152155755126,0.12154398078478301,14.807979858985528,0.00012108160506678712,0.0007264896304007227,6.622329914467061,3,True,True,True
DTD,knn,dinov2,0.8029679400142475,0.01033391078401281,dinov2_large,0.7954545803597066,0.007051937867753499,0.007513359654540919,1.4574184939464603,0.2187360513256476,0.23486659333063764,0.6517773647693891,4,False,False,False
DTD,knn,dinov2,0.8029679400142475,0.01033391078401281,dinov2_small,0.7902618439326071,0.007742536358352424,0.012706096081640417,1.9901294187778822,0.11743329666531882,0.23486659333063764,0.8900129328195562,5,False,False,False
DTD,knn,dinov2,0.8029679400142475,0.01033391078401281,drlbp,0.1418945441765175,0.006712095367396472,0.6610733958377301,144.5191509862178,1.3750263848467039e-08,2.2000422157547262e-07,64.630929124829,6,True,True,True
DTD,knn,dinov2,0.8029679400142475,0.01033391078401281,efficientnet_b0,0.6795343646435527,0.007682818280517113,0.12343357537069488,20.87541365385819,3.11168797048198e-05,0.000273924849424054,9.335768796984734,7,True,True,True
DTD,knn,dinov2,0.8029679400142475,0.01033391078401281,gabor,0.15622255382000785,0.013817348233133584,0.6467453861942397,72.98496711387187,2.1119043551946645e-07,2.745475661753064e-06,32.63986955879356,8,True,True,True
DTD,knn,dinov2,0.8029679400142475,0.01033391078401281,glcm,0.09838109034440393,0.007658411637874686,0.7045868496698436,119.85411347259974,2.9062833218659173e-08,4.359424982798876e-07,53.600389017463705,9,True,True,True
DTD,knn,dinov2,0.8029679400142475,0.01033391078401281,hog,0.15595365257731889,0.012747555500477558,0.6470142874369287,79.26167082754961,1.5185798802163356e-07,2.12601183230287e-06,35.44689679418062,10,True,True,True
DTD,knn,dinov2,0.8029679400142475,0.01033391078401281,lbp,0.25458927462799,0.01567809440807935,0.5483786653862575,63.2144699901465,3.751120861772637e-07,4.501345034127164e-06,28.270370410460192,11,True,True,True
DTD,knn,dinov2,0.8029679400142475,0.01033391078401281,resnet101,0.6873178106113144,0.005026953676847855,0.11565012940293318,17.024784530762723,6.980733213888137e-05,0.0004886513249721696,7.61371510211322,12,True,True,True
DTD,knn,dinov2,0.8029679400142475,0.01033391078401281,resnet50,0.6986331247224857,0.011950974256255346,0.1043348152917618,21.556521058382877,2.7392484942405396e-05,0.000273924849424054,9.64036928809921,13,True,True,True
DTD,knn,dinov2,0.8029679400142475,0.01033391078401281,swin_t,0.7083255820996782,0.017736658544108615,0.09464235791456932,9.690747839230854,0.0006346056933106328,0.0019038170799318983,4.333834184067426,14,True,True,False
DTD,knn,dinov2,0.8029679400142475,0.01033391078401281,vgg16,0.6236162007175681,0.007597215726495789,0.17935173929667947,45.4951536519293,1.3960249384019784e-06,1.5356274322421763e-05,20.346051240194242,15,True,True,True
