dataset,clf,step,added,selected,n_selected,f1,std_f1,acc,dim,delta
DTD,svm,1,dinov2,dinov2,1,0.8419999489268051,0.0056994432132429045,0.8427304964539009,768,0.8419999489268051
DTD,svm,2,resnet50,dinov2 + resnet50,2,0.8601379691602802,0.007355087083364333,0.8606382978723403,2816,0.018138020233475105
DTD,svm,3,dinov2_large,dinov2 + resnet50 + dinov2_large,3,0.8675545870890792,0.005408275019121028,0.8680851063829789,3840,0.007416617928798996
DTD,svm,4,glcm,dinov2 + resnet50 + dinov2_large + glcm,4,0.8682765980317141,0.005884612229283277,0.8687943262411348,3858,0.0007220109426349097
DTD,svm,5,drlbp,dinov2 + resnet50 + dinov2_large + glcm + drlbp,5,0.8678440986714868,0.0074209053409639205,0.8682624113475178,3938,-0.00043249936022726754
