dataset,extractors,clf,mean_f1,std_f1,single_dim,k,concat_dim
HVD_glaucoma,['vit_b16'],svm,0.7644829584577317,0.0121275404357187,768,1,768
HVD_glaucoma,['vit_b16'],knn,0.7086447732175752,0.0269521166431895,768,1,768
HVD_glaucoma,['vit_b16'],rf,0.6932247639009564,0.0154668027300071,768,1,768
HVD_glaucoma,['swin_t'],svm,0.7608960356641867,0.0232461561877222,768,1,768
HVD_glaucoma,['swin_t'],knn,0.6845393649090964,0.0212020596838598,768,1,768
HVD_glaucoma,['swin_t'],rf,0.6900936061590108,0.009938365330948,768,1,768
HVD_glaucoma,['deit_s'],svm,0.7109753009022999,0.0232034315436279,384,1,384
HVD_glaucoma,['deit_s'],knn,0.6657247943974787,0.0205877844864488,384,1,384
HVD_glaucoma,['deit_s'],rf,0.6487276038495307,0.0228269403405675,384,1,384
HVD_glaucoma,['dinov2'],svm,0.7201468535573875,0.0079706974475177,768,1,768
HVD_glaucoma,['dinov2'],knn,0.6508216615169575,0.0218724907429989,768,1,768
HVD_glaucoma,['dinov2'],rf,0.6595605590223542,0.0145658356827227,768,1,768
HVD_glaucoma,['dinov2_large'],svm,0.7383977769660983,0.0147561523916495,1024,1,1024
HVD_glaucoma,['dinov2_large'],knn,0.639818869872683,0.0117427808477381,1024,1,1024
HVD_glaucoma,['dinov2_large'],rf,0.6649256692350721,0.0101301839727717,1024,1,1024
HVD_glaucoma,['resnet50'],svm,0.6977580786358959,0.0209924689271941,2048,1,2048
HVD_glaucoma,['resnet50'],knn,0.6342337515010597,0.0173733929165766,2048,1,2048
HVD_glaucoma,['resnet50'],rf,0.6058883899827232,0.0180372704405424,2048,1,2048
HVD_glaucoma,['convnext_v2_t'],svm,0.7479499648991935,0.0156691052389058,768,1,768
HVD_glaucoma,['convnext_v2_t'],knn,0.6704134451613124,0.0116862202789624,768,1,768
HVD_glaucoma,['convnext_v2_t'],rf,0.6805634690578697,0.0197627465224643,768,1,768
HVD_glaucoma,['efficientnet_b0'],svm,0.7267697168517211,0.018323956530417,1280,1,1280
HVD_glaucoma,['efficientnet_b0'],knn,0.6781685496684278,0.0118573174048835,1280,1,1280
HVD_glaucoma,['efficientnet_b0'],rf,0.6460912653678497,0.0204844983401938,1280,1,1280
HVD_glaucoma,['lbp'],svm,0.498973856329747,0.0144007398497543,54,1,54
HVD_glaucoma,['lbp'],knn,0.554152657407536,0.0115807245526233,54,1,54
HVD_glaucoma,['lbp'],rf,0.5834963437479014,0.0334398070033498,54,1,54
HVD_glaucoma,['glcm'],svm,0.3710595780101964,0.0139414540158266,18,1,18
HVD_glaucoma,['glcm'],knn,0.5092622163794984,0.0157181672461695,18,1,18
HVD_glaucoma,['glcm'],rf,0.5265478077522692,0.0106248562908992,18,1,18
HVD_glaucoma,['gabor'],svm,0.3507804014110269,0.0143455271211007,48,1,48
HVD_glaucoma,['gabor'],knn,0.4732982521272875,0.0137679698739665,48,1,48
HVD_glaucoma,['gabor'],rf,0.5527271349368796,0.0213449170948959,48,1,48
HVD_glaucoma,['hog'],svm,0.5878081056288107,0.0278640136941915,1764,1,1764
HVD_glaucoma,['hog'],knn,0.5593670706402907,0.0256382744085066,1764,1,1764
HVD_glaucoma,['hog'],rf,0.4665182455950865,0.022327982337657,1764,1,1764
HVD_glaucoma,['drlbp'],svm,0.4299734400070886,0.0137672615405391,80,1,80
HVD_glaucoma,['drlbp'],knn,0.5454741955854784,0.0354547099368089,80,1,80
HVD_glaucoma,['drlbp'],rf,0.5343417113711748,0.0229660118680085,80,1,80
FMD,['vit_b16'],svm,0.8680442730169936,0.0098777478053773,768,1,768
FMD,['vit_b16'],knn,0.8313469887370151,0.0141084624783977,768,1,768
FMD,['vit_b16'],rf,0.8294129662379796,0.0203882249682383,768,1,768
FMD,['swin_t'],svm,0.8751699445547134,0.0048164151552793,768,1,768
FMD,['swin_t'],knn,0.8186771355202858,0.0196325938560117,768,1,768
FMD,['swin_t'],rf,0.8246510632546353,0.0182105634431082,768,1,768
FMD,['deit_s'],svm,0.8097153125963583,0.0236916493998385,384,1,384
FMD,['deit_s'],knn,0.7621499418908392,0.0313061458450792,384,1,384
FMD,['deit_s'],rf,0.7515925204351523,0.0218519761403134,384,1,384
FMD,['dinov2'],svm,0.9550750717895536,0.0163210710041142,768,1,768
FMD,['dinov2'],knn,0.8910899256913112,0.0161226485802874,768,1,768
FMD,['dinov2'],rf,0.9244360237184772,0.0190554510680545,768,1,768
FMD,['dinov2_large'],svm,0.948134880970299,0.0066521190136729,1024,1,1024
FMD,['dinov2_large'],knn,0.8930859446961186,0.0158942598038753,1024,1,1024
FMD,['dinov2_large'],rf,0.928306730518551,0.0065351529124711,1024,1,1024
FMD,['resnet50'],svm,0.8406040159550209,0.0162321110299042,2048,1,2048
FMD,['resnet50'],knn,0.7885491029469609,0.0218520512892786,2048,1,2048
FMD,['resnet50'],rf,0.7998792104210883,0.010306946292578,2048,1,2048
FMD,['convnext_v2_t'],svm,0.9091231091977038,0.0191486576951191,768,1,768
FMD,['convnext_v2_t'],knn,0.8618620870736834,0.0080542907427184,768,1,768
