dataset,baseline_extractor,clf_x,baseline_f1,baseline_std,baseline_dim,k,extractors,clf_y,concat_f1,concat_std,concat_dim,delta
ocular_toxoplasmosis,dinov2_large,svm,0.8287140703625762,0.0452007787353118,1024,12,lbp + glcm + gabor + hog + drlbp + resnet50 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s + dinov2,svm,0.847704972194661,0.0355785421074312,8748,0.01899090183208485
HVD_glaucoma,vit_b16,svm,0.7644829584577317,0.0121275404357187,768,11,lbp + glcm + gabor + hog + drlbp + resnet50 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s,svm,0.776757054338011,0.0097808144702793,7980,0.012274095880279279
KTH-TIPS2,vit_b16,svm,0.9997805517273288,0.0004388965453422,768,8,lbp + glcm + gabor + hog + drlbp + resnet50 + convnext_v2_t + efficientnet_b0,svm,0.9997805517273288,0.0004388965453422,6060,0.0
DTD,dinov2_large,svm,0.8462035721031155,0.0043430911549562,1024,12,lbp + glcm + gabor + hog + drlbp + resnet50 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s + dinov2,svm,0.8442790376517305,0.0088863128429882,8748,-0.0019245344513849627
FMD,dinov2,svm,0.9550750717895536,0.0163210710041142,768,12,lbp + glcm + gabor + hog + drlbp + resnet50 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s + dinov2,svm,0.9400518463327072,0.0155571588245533,8748,-0.015023225456846423
