dataset,extractor,clf,n_samples,n_classes,emb_dim,mean_accuracy,std_accuracy,mean_f1,std_f1,best_params,time_s
FMD,siglip_base,knn,1000,10,768,0.9129999999999999,0.014696938456699041,0.9122347175454358,0.015187248215747828,"{'n_neighbors': 5, 'weights': 'distance'}",0.0
FMD,siglip_base,rf,1000,10,768,0.9259999999999999,0.018814887722226746,0.9259949592396974,0.01865580587866959,"{'n_estimators': 100, 'max_depth': None, 'n_jobs': -1}",0.9
FMD,siglip_base,resmlp,1000,10,768,0.9719999999999999,0.007483314773547889,0.9720710434368971,0.0073820482753247044,"{'hidden_dim': 256, 'n_blocks': 3, 'dropout': 0.1, 'max_epochs': 100, 'patience': 10, 'batch_size': 256}",2.6
FMD,vgg16,svm,1000,10,4096,0.798,0.02619160170741758,0.798925707663509,0.026143498692380463,"{'kernel': 'linear', 'C': 1.0}",2.4
FMD,vgg16,knn,1000,10,4096,0.74,0.020000000000000018,0.7372335576757051,0.019915856632335385,"{'n_neighbors': 5, 'weights': 'distance'}",0.3
FMD,vgg16,rf,1000,10,4096,0.767,0.024617067250182364,0.7668215356342476,0.02429973208465618,"{'n_estimators': 100, 'max_depth': None, 'n_jobs': -1}",0.9
FMD,vgg16,resmlp,1000,10,4096,0.787,0.02088061301782112,0.7868068822995641,0.02180719417937658,"{'hidden_dim': 256, 'n_blocks': 3, 'dropout': 0.1, 'max_epochs': 100, 'patience': 10, 'batch_size': 256}",3.0
FMD,resnet50,svm,1000,10,2048,0.837,0.02158703314492288,0.836400305898066,0.022006584675051143,"{'kernel': 'linear', 'C': 1.0}",1.1
FMD,resnet50,knn,1000,10,2048,0.784,0.01743559577416271,0.7824302830845156,0.01888336100426376,"{'n_neighbors': 5, 'weights': 'distance'}",0.1
FMD,resnet50,rf,1000,10,2048,0.772,0.015684387141358135,0.7705433966233685,0.015447160091829,"{'n_estimators': 100, 'max_depth': None, 'n_jobs': -1}",1.1
FMD,resnet50,resmlp,1000,10,2048,0.834,0.011135528725660053,0.8326181680800291,0.011405394774535503,"{'hidden_dim': 256, 'n_blocks': 3, 'dropout': 0.1, 'max_epochs': 100, 'patience': 10, 'batch_size': 256}",3.1
FMD,resnet101,svm,1000,10,2048,0.8549999999999999,0.018973665961010293,0.8556889607160171,0.01640666441951614,"{'kernel': 'linear', 'C': 1.0}",1.0
FMD,resnet101,knn,1000,10,2048,0.799,0.021307275752662502,0.7971367208023474,0.022510594988852436,"{'n_neighbors': 5, 'weights': 'distance'}",0.1
FMD,resnet101,rf,1000,10,2048,0.7899999999999999,0.028460498941515387,0.7883335685804505,0.027939128809542114,"{'n_estimators': 100, 'max_depth': None, 'n_jobs': -1}",1.1
FMD,resnet101,resmlp,1000,10,2048,0.85,0.010954451150103333,0.8488065098247205,0.010060267655136759,"{'hidden_dim': 256, 'n_blocks': 3, 'dropout': 0.1, 'max_epochs': 100, 'patience': 10, 'batch_size': 256}",3.0
FMD,densenet121,svm,1000,10,1024,0.829,0.018814887722226767,0.8300809546386549,0.017793449603098376,"{'kernel': 'linear', 'C': 1.0}",0.5
FMD,densenet121,knn,1000,10,1024,0.78,0.017888543819998333,0.7763513188503117,0.019023674733407117,"{'n_neighbors': 5, 'weights': 'distance'}",0.0
FMD,densenet121,rf,1000,10,1024,0.79,0.01923538406167136,0.7895135615784931,0.01794412544305319,"{'n_estimators': 100, 'max_depth': None, 'n_jobs': -1}",1.0
FMD,densenet121,resmlp,1000,10,1024,0.805,0.024083189157584565,0.8043153581368973,0.024557146777014472,"{'hidden_dim': 256, 'n_blocks': 3, 'dropout': 0.1, 'max_epochs': 100, 'patience': 10, 'batch_size': 256}",3.3
FMD,efficientnet_b0,svm,1000,10,1280,0.8299999999999998,0.030495901363953807,0.8300939288111444,0.03011264742466318,"{'kernel': 'linear', 'C': 1.0}",0.6
FMD,efficientnet_b0,knn,1000,10,1280,0.7859999999999999,0.02059126028197402,0.7844494262989699,0.02052770693780271,"{'n_neighbors': 5, 'weights': 'distance'}",0.0
FMD,efficientnet_b0,rf,1000,10,1280,0.7470000000000001,0.034146742157927776,0.7471778546541168,0.03270509971193709,"{'n_estimators': 100, 'max_depth': None, 'n_jobs': -1}",1.1
FMD,efficientnet_b0,resmlp,1000,10,1280,0.819,0.023958297101421864,0.8190339569990732,0.023190592603893934,"{'hidden_dim': 256, 'n_blocks': 3, 'dropout': 0.1, 'max_epochs': 100, 'patience': 10, 'batch_size': 256}",2.8
FMD,convnext_v2_t,svm,1000,10,768,0.899,0.017146428199482262,0.8990033473592405,0.01733915915150038,"{'kernel': 'linear', 'C': 1.0}",0.4
FMD,convnext_v2_t,knn,1000,10,768,0.8489999999999999,0.017146428199482262,0.8471033991849393,0.017176443544332527,"{'n_neighbors': 5, 'weights': 'distance'}",0.0
FMD,convnext_v2_t,rf,1000,10,768,0.818,0.025416530054277638,0.8175723379299471,0.024607118015128673,"{'n_estimators': 100, 'max_depth': None, 'n_jobs': -1}",0.9
FMD,convnext_v2_t,resmlp,1000,10,768,0.8949999999999999,0.021213203435596444,0.8945213445094629,0.021739975856973997,"{'hidden_dim': 256, 'n_blocks': 3, 'dropout': 0.1, 'max_epochs': 100, 'patience': 10, 'batch_size': 256}",2.4
FMD,lbp,svm,1000,10,54,0.238,0.010295630140987,0.198025039196208,0.010739450608124075,"{'kernel': 'linear', 'C': 1.0}",0.1
FMD,lbp,knn,1000,10,54,0.251,0.01240967364599086,0.24599829465600487,0.011674247243696272,"{'n_neighbors': 5, 'weights': 'distance'}",0.0
FMD,lbp,rf,1000,10,54,0.321,0.015297058540778351,0.31015888411303244,0.011252522265434422,"{'n_estimators': 100, 'max_depth': None, 'n_jobs': -1}",0.7
FMD,lbp,resmlp,1000,10,54,0.32999999999999996,0.03898717737923587,0.31567237862753883,0.034281911570154394,"{'hidden_dim': 256, 'n_blocks': 3, 'dropout': 0.1, 'max_epochs': 100, 'patience': 10, 'batch_size': 256}",3.9
FMD,glcm,svm,1000,10,18,0.166,0.023958297101421878,0.1221049198868234,0.01886015655994811,"{'kernel': 'linear', 'C': 1.0}",0.1
FMD,glcm,knn,1000,10,18,0.17099999999999999,0.016552945357246843,0.1684309998247279,0.01866213672200719,"{'n_neighbors': 5, 'weights': 'distance'}",0.0
FMD,glcm,rf,1000,10,18,0.20800000000000002,0.028913664589601915,0.2040922382610046,0.026425953548150888,"{'n_estimators': 100, 'max_depth': None, 'n_jobs': -1}",0.7
FMD,glcm,resmlp,1000,10,18,0.181,0.038781438859330636,0.11860411661338628,0.0302523003749841,"{'hidden_dim': 256, 'n_blocks': 3, 'dropout': 0.1, 'max_epochs': 100, 'patience': 10, 'batch_size': 256}",1.8
FMD,gabor,svm,1000,10,48,0.18899999999999997,0.014282856857085698,0.16615325848415582,0.0173142978931195,"{'kernel': 'linear', 'C': 1.0}",0.1
FMD,gabor,knn,1000,10,48,0.25,0.0322490309931942,0.2415542428198961,0.03288748140850344,"{'n_neighbors': 5, 'weights': 'distance'}",0.0
FMD,gabor,rf,1000,10,48,0.306,0.048414873747640814,0.2996673814176522,0.04950974278493514,"{'n_estimators': 100, 'max_depth': None, 'n_jobs': -1}",0.7
FMD,gabor,resmlp,1000,10,48,0.267,0.019131126469709,0.23510854543247134,0.016531412837669186,"{'hidden_dim': 256, 'n_blocks': 3, 'dropout': 0.1, 'max_epochs': 100, 'patience': 10, 'batch_size': 256}",3.9
FMD,hog,svm,1000,10,1764,0.231,0.021307275752662513,0.20973384273592138,0.025722374735475655,"{'kernel': 'linear', 'C': 1.0}",1.5
FMD,hog,knn,1000,10,1764,0.17099999999999999,0.015297058540778358,0.12093378882344821,0.016367775349562495,"{'n_neighbors': 5, 'weights': 'distance'}",0.1
FMD,hog,rf,1000,10,1764,0.22399999999999998,0.031048349392520058,0.21032661539501873,0.031224571932644826,"{'n_estimators': 100, 'max_depth': None, 'n_jobs': -1}",1.3
FMD,hog,resmlp,1000,10,1764,0.22199999999999998,0.0276767050061961,0.21089678313222965,0.021996985851923802,"{'hidden_dim': 256, 'n_blocks': 3, 'dropout': 0.1, 'max_epochs': 100, 'patience': 10, 'batch_size': 256}",3.1
FMD,drlbp,svm,1000,10,80,0.22599999999999998,0.018814887722226777,0.1697738280969136,0.012949188918767347,"{'kernel': 'linear', 'C': 1.0}",0.1
FMD,drlbp,knn,1000,10,80,0.22400000000000003,0.031048349392520058,0.2176007702460761,0.03174444153494436,"{'n_neighbors': 5, 'weights': 'distance'}",0.0
FMD,drlbp,rf,1000,10,80,0.26499999999999996,0.02345207879911714,0.2600379366718303,0.020585916968938887,"{'n_estimators': 100, 'max_depth': None, 'n_jobs': -1}",0.7
FMD,drlbp,resmlp,1000,10,80,0.263,0.046432747064975605,0.23361400302726976,0.05567911571391135,"{'hidden_dim': 256, 'n_blocks': 3, 'dropout': 0.1, 'max_epochs': 100, 'patience': 10, 'batch_size': 256}",3.1
