dataset,clf,step,added,selected,n_selected,f1,std_f1,acc,dim,delta
HVD_glaucoma,svm,1,swin_t,swin_t,1,0.7323180578186104,0.007895615548977613,0.800531668978271,768,0.7323180578186104
HVD_glaucoma,svm,2,deit_s,swin_t + deit_s,2,0.7534986263296258,0.02387412860285087,0.8115412095994621,1152,0.021180568511015463
HVD_glaucoma,svm,3,convnext_v2_t,swin_t + deit_s + convnext_v2_t,3,0.7684170553114882,0.02383494709265277,0.8212583532971882,1920,0.014918428981862353
HVD_glaucoma,svm,4,vit_b16,swin_t + deit_s + convnext_v2_t + vit_b16,4,0.7744818485563187,0.029537136255258063,0.827741352498634,2688,0.0060647932448305575
HVD_glaucoma,svm,5,resnet50,swin_t + deit_s + convnext_v2_t + vit_b16 + resnet50,5,0.7810979464011766,0.02889745878469253,0.831622746185853,4736,0.006616097844857838
HVD_glaucoma,svm,6,gabor,swin_t + deit_s + convnext_v2_t + vit_b16 + resnet50 + gabor,6,0.7826340262958685,0.028816148613799122,0.8335686966754927,4784,0.0015360798946919552
HVD_glaucoma,svm,7,glcm,swin_t + deit_s + convnext_v2_t + vit_b16 + resnet50 + gabor + glcm,7,0.7827385858483389,0.029369983196745362,0.833570798133905,4802,0.00010455955247035131
HVD_glaucoma,svm,8,drlbp,swin_t + deit_s + convnext_v2_t + vit_b16 + resnet50 + gabor + glcm + drlbp,8,0.7822729121766376,0.031712943113333315,0.8342180473248435,4882,-0.00046567367170124996
